time_entry_id,project_id,work_date,employee_id,trade,regular_hours,overtime_hours,hourly_rate,labor_cost
TE000037,P001,2023-06-01,E104,Carpenter,41.66,0,44.89,1870.12
TE000038,P001,2023-09-20,E401,Finisher,38.26,6.68,39.84,1923.48
TE000039,P001,2023-11-12,E101,Carpenter,35.12,0,43.16,1515.78
TE000040,P001,2023-07-27,E405,Finisher,31.36,0,43.5,1364.16
TE000041,P001,2023-04-21,E225,Laborer,34.81,0,31.97,1112.88
TE000042,P001,2023-07-14,E202,Laborer,36.04,8.23,36.52,1767.02
TE000043,P001,2023-08-09,E134,Carpenter,39.91,0,47.75,1905.7
TE000044,P001,2023-09-03,E312,Superintendent,38.74,0,57.4,2223.68
TE000045,P001,2023-06-08,E417,Finisher,39.87,0,37.12,1479.97
TE000046,P001,2023-06-03,E312,Superintendent,33.67,0,60.23,2027.94
TE000047,P001,2023-08-28,E225,Laborer,39.11,0,34.2,1337.56
TE000048,P001,2023-09-29,E219,Laborer,30.33,0,33.16,1005.74
TE000049,P001,2023-03-13,E107,Carpenter,40.8,0,48.61,1983.29
TE000050,P001,2023-09-03,E312,Superintendent,32.51,0,64.72,2104.05
TE000051,P001,2023-07-18,E202,Laborer,30.74,0,27.27,838.28
TE000052,P001,2023-09-27,E401,Finisher,32.96,0,44.8,1476.61
TE000053,P001,2023-06-27,E309,Superintendent,41.44,0,65.27,2704.79
TE000054,P001,2023-10-07,E309,Superintendent,36.47,3.54,54.6,2281.19
TE000055,P001,2023-04-13,E128,Carpenter,35.89,0,42.05,1509.17
TE000056,P001,2023-05-01,E202,Laborer,41.85,4.75,29.38,1438.89
TE000057,P001,2023-10-28,E304,Superintendent,32.25,0,60.7,1957.58
TE000058,P001,2023-11-10,E207,Laborer,37.58,0,30.31,1139.05
TE000059,P001,2023-08-23,E207,Laborer,38.52,0,35.94,1384.41
TE000060,P001,2023-08-02,E134,Carpenter,38.45,0,43.94,1689.49
TE000061,P001,2023-03-28,E134,Carpenter,31.12,0,47.63,1482.25
TE000062,P001,2023-09-20,E207,Laborer,39.69,0,31.43,1247.46
TE000063,P001,2023-06-18,E312,Superintendent,31.76,0,57.16,1815.4
TE000064,P001,2023-07-23,E401,Finisher,33.78,0,43.2,1459.3
TE000065,P001,2023-08-08,E309,Superintendent,40.15,0,60.12,2413.82
TE000066,P001,2023-05-25,E417,Finisher,31.7,0,36.42,1154.51
TE000067,P001,2023-10-12,E115,Carpenter,41.16,0,45.5,1872.78
TE000068,P001,2023-08-23,E207,Laborer,42.09,0,27.76,1168.42
TE000069,P001,2023-03-25,E231,Laborer,32.99,0,27.16,896.01
TE000070,P001,2023-09-28,E401,Finisher,43.12,0,45.49,1961.53
TE000071,P001,2023-04-07,E225,Laborer,33.56,0,33.82,1135
TE000072,P001,2023-10-15,E107,Carpenter,37.6,4.69,38.83,1733.18
TE000073,P001,2023-06-25,E207,Laborer,39.04,0,37.62,1468.68
TE000074,P001,2023-10-03,E104,Carpenter,30.06,0,44.19,1328.35
TE000075,P001,2023-05-26,E202,Laborer,39.21,0,31.37,1230.02
TE000076,P001,2023-05-15,E219,Laborer,35.94,0,27.81,999.49
TE000077,P001,2023-10-27,E417,Finisher,37.04,0,39.75,1472.34
TE000078,P001,2023-07-10,E104,Carpenter,33.86,0,45.59,1543.68
TE000079,P001,2023-05-04,E225,Laborer,39.84,0,36.85,1468.1
TE000080,P001,2023-05-23,E309,Superintendent,45.37,0,65.96,2992.61
TE000081,P001,2023-07-14,E219,Laborer,44.45,0,32.49,1444.18
TE000082,P001,2023-09-25,E134,Carpenter,34.28,0,44.43,1523.06
TE000083,P001,2023-08-29,E401,Finisher,39.5,0,37.29,1472.95
TE000084,P001,2023-07-21,E309,Superintendent,34.18,0,54.57,1865.2
TE000085,P001,2023-04-15,E405,Finisher,42.19,0,44.94,1896.02
TE000086,P001,2023-03-26,E417,Finisher,41.54,1.7,44.16,1947.01
TE000087,P001,2023-07-09,E134,Carpenter,37.42,0,38.5,1440.67
TE000088,P001,2023-05-25,E134,Carpenter,44.85,0,51.37,2303.94
TE000089,P001,2023-04-19,E231,Laborer,45.9,0,27.61,1267.3
TE000090,P001,2023-07-03,E312,Superintendent,33.6,0,67.1,2254.56
TE000091,P001,2023-06-27,E101,Carpenter,39.43,0,44.82,1767.25
TE000092,P001,2023-07-08,E231,Laborer,31.41,0,32.88,1032.76
TE000093,P001,2023-08-05,E101,Carpenter,36.81,0,50.8,1869.95
TE000094,P001,2023-05-07,E401,Finisher,38.45,0,45.87,1763.7
TE000095,P001,2023-08-29,E423,Finisher,44.29,2.89,44.63,2170.13
TE000096,P001,2023-08-15,E219,Laborer,41.11,0,33.94,1395.27
TE000097,P001,2023-09-24,E312,Superintendent,31.64,0,54.9,1737.04
TE000098,P001,2023-11-09,E104,Carpenter,40.67,2.43,49.19,2179.85
TE000099,P001,2023-09-03,E128,Carpenter,35.32,0,39.06,1379.6
TE000100,P001,2023-06-07,E134,Carpenter,42.62,0,42.92,1829.25
TE000101,P001,2023-07-31,E225,Laborer,38.08,8.36,37.25,1885.6
TE000102,P001,2023-07-20,E202,Laborer,31.36,8.65,27.11,1201.92
TE000103,P001,2023-08-13,E107,Carpenter,45.17,6.31,48.08,2626.85
TE000104,P001,2023-10-08,E128,Carpenter,32.28,0,46.95,1515.55
TE000105,P001,2023-04-05,E207,Laborer,39.32,0,36.49,1434.79
TE000106,P001,2023-05-15,E405,Finisher,37.92,0,46.79,1774.28
TE000107,P001,2023-05-22,E128,Carpenter,33.38,0,40.34,1346.55
TE000108,P001,2023-08-02,E401,Finisher,42.87,7.5,39.45,2135.03
TE000109,P001,2023-10-10,E104,Carpenter,43.68,0,49.45,2159.98
TE000110,P001,2023-10-21,E417,Finisher,37.91,0,37.72,1429.97
TE000111,P001,2023-07-02,E104,Carpenter,35.35,4.99,47.93,2053.08
TE000112,P001,2023-04-16,E134,Carpenter,34.2,0,44.38,1517.8
TE000113,P001,2023-07-31,E309,Superintendent,31.45,0,56.38,1773.15
TE000114,P001,2023-04-10,E115,Carpenter,41.97,0,42.37,1778.27
TE000115,P001,2023-04-16,E219,Laborer,33.39,0,35.18,1174.66
TE000116,P001,2023-03-31,E134,Carpenter,33,0,43.48,1434.84
TE000117,P001,2023-09-27,E417,Finisher,33.69,0,46,1549.74
TE000118,P001,2023-08-01,E101,Carpenter,30.36,0,49.56,1504.64
TE000119,P001,2023-08-30,E423,Finisher,34.98,5.03,43.36,1843.88
TE000120,P001,2023-10-12,E207,Laborer,41.63,0,37.21,1549.05
TE000121,P001,2023-03-12,E128,Carpenter,33.7,0,48.42,1631.75
TE000122,P001,2023-09-01,E231,Laborer,39.81,0,27.99,1114.28
TE000123,P001,2023-03-22,E202,Laborer,41.3,0,30.32,1252.22
TE000124,P001,2023-04-26,E202,Laborer,33.2,0,31.42,1043.14
TE000125,P001,2023-06-07,E107,Carpenter,31.63,0,42.58,1346.81
TE000126,P001,2023-04-17,E225,Laborer,38.52,0,31.14,1199.51
TE000127,P001,2023-11-09,E107,Carpenter,35.72,0,45.95,1641.33
TE000128,P001,2023-09-04,E219,Laborer,42.64,0,32.98,1406.27
TE000129,P001,2023-08-27,E309,Superintendent,40.89,0,58.09,2375.3
TE000130,P001,2023-10-11,E225,Laborer,40.9,0,32.17,1315.75
TE000131,P001,2023-09-20,E207,Laborer,40.81,0,33.28,1358.16
TE000132,P001,2023-07-31,E128,Carpenter,31.18,0,38.44,1198.56
TE000133,P001,2023-10-23,E312,Superintendent,42.74,0,52.41,2240
TE000134,P001,2023-08-01,E304,Superintendent,31.83,0,65.58,2087.41
TE000135,P001,2023-10-22,E115,Carpenter,34.69,0,44.62,1547.87
TE000136,P001,2023-03-30,E202,Laborer,44.95,0,32.61,1465.82
TE000137,P001,2023-09-07,E309,Superintendent,42.63,0,59.31,2528.39
TE000138,P001,2023-07-29,E219,Laborer,43.37,8.38,31.87,1782.81
TE000139,P001,2023-09-27,E405,Finisher,39.96,0,47.29,1889.71
TE000140,P001,2023-04-13,E207,Laborer,32.59,0,29.7,967.92
TE000141,P001,2023-06-13,E225,Laborer,44.64,5.01,30.64,1598.03
TE000142,P001,2023-03-12,E101,Carpenter,43.31,0,39.01,1689.52
TE000143,P001,2023-04-25,E231,Laborer,34.39,0,32.14,1105.29
TE000144,P001,2023-09-26,E304,Superintendent,39.57,0,67.45,2669
TE000145,P001,2023-06-30,E115,Carpenter,31.19,0,43.59,1359.57
TE000146,P001,2023-08-05,E401,Finisher,34.66,4.01,47.75,1942.23
TE000147,P001,2023-10-03,E225,Laborer,42.97,0,33.48,1438.64
TE000148,P001,2023-06-20,E128,Carpenter,34.92,0,41.11,1435.56
TE000149,P001,2023-08-17,E401,Finisher,30.57,0,43.18,1320.01
TE000150,P001,2023-05-07,E207,Laborer,42.55,0,31.69,1348.41
TE000151,P001,2023-10-27,E115,Carpenter,40.57,0,42.73,1733.56
TE000152,P001,2023-09-18,E401,Finisher,30.88,0,44.03,1359.65
TE000153,P001,2023-05-25,E423,Finisher,32.29,0,42.84,1383.3
TE000154,P001,2023-05-31,E301,Superintendent,30.93,0,64.12,1983.23
TE000155,P001,2023-10-31,E423,Finisher,45.26,0,45.58,2062.95
TE000156,P001,2023-09-17,E104,Carpenter,41.14,0,46.97,1932.35
TE000157,P001,2023-05-27,E231,Laborer,42.69,0,37.64,1606.85
TE000158,P001,2023-06-10,E107,Carpenter,44.93,0,42.05,1889.31
TE000159,P001,2023-06-04,E417,Finisher,37.55,0,47.49,1783.25
TE000160,P001,2023-05-28,E115,Carpenter,34.38,0,38.52,1324.32
TE000161,P001,2023-03-31,E115,Carpenter,44.65,0,40.48,1807.43
TE000162,P001,2023-05-06,E225,Laborer,30.5,0,32.53,992.17
TE000163,P001,2023-07-25,E207,Laborer,43.57,6.64,32.6,1745.08
TE000164,P001,2023-07-22,E417,Finisher,42.78,6.64,36.43,1921.32
TE000165,P001,2023-03-18,E219,Laborer,42.89,2.54,33.84,1580.33
TE000166,P001,2023-08-26,E207,Laborer,30.54,0,34.07,1040.5
TE000167,P001,2023-03-28,E101,Carpenter,30.11,0,42.92,1292.32
TE000168,P001,2023-03-29,E128,Carpenter,36.36,6.37,44.32,2034.95
TE000169,P001,2023-04-29,E115,Carpenter,43.46,0,41.3,1794.9
TE000170,P001,2023-09-11,E101,Carpenter,32.93,0,47.38,1560.22
TE000171,P001,2023-06-04,E304,Superintendent,38.95,0,55.54,2163.28
TE000172,P001,2023-05-14,E115,Carpenter,38.21,2.49,50.82,2131.64
TE000173,P001,2023-10-13,E312,Superintendent,39.55,5.54,56.37,2697.87
TE000174,P001,2023-06-02,E231,Laborer,33.92,0,32.87,1114.95
TE000175,P001,2023-08-17,E128,Carpenter,35.12,0,50.66,1779.18
TE000176,P001,2023-06-12,E115,Carpenter,45.34,3.61,38.61,1959.65
TE000177,P001,2023-04-26,E202,Laborer,35.1,0,27.96,981.4
TE000178,P001,2023-08-23,E309,Superintendent,37.75,5.86,58.51,2723.06
TE000179,P001,2023-08-18,E202,Laborer,35.69,8.04,36.18,1727.59
TE000180,P001,2023-05-22,E202,Laborer,41.47,0,27.36,1134.62
TE000181,P001,2023-05-01,E128,Carpenter,31.34,0,41.08,1287.45
TE000182,P001,2023-08-10,E101,Carpenter,34.9,0,42.36,1478.36
TE000183,P001,2023-08-20,E101,Carpenter,30.33,0,45.19,1370.61
TE000184,P001,2023-10-12,E405,Finisher,43.27,3.98,41.83,2059.71
TE000185,P001,2023-07-31,E128,Carpenter,40.65,1.27,48.75,2074.56
TE000186,P001,2023-08-05,E417,Finisher,42.3,0,37.94,1604.86
TE000187,P001,2023-05-22,E115,Carpenter,30.96,0,39.45,1221.37
TE000188,P001,2023-10-04,E231,Laborer,34.39,7.02,34.24,1538.06
TE000189,P001,2023-06-15,E128,Carpenter,41.5,0,51.88,2153.02
TE000190,P001,2023-03-12,E219,Laborer,35.8,0,33.97,1216.13
TE000191,P001,2023-09-16,E423,Finisher,31.9,7.13,48.25,2055.21
TE000192,P001,2023-08-11,E401,Finisher,36.96,0,43.6,1611.46
TE000193,P001,2023-08-18,E401,Finisher,45.76,2.18,40.36,1978.85
TE000194,P001,2023-09-12,E134,Carpenter,45.41,0,48.1,2184.22
TE000195,P001,2023-07-14,E423,Finisher,38.73,0,39.88,1544.55
TE000196,P001,2023-05-29,E101,Carpenter,44.86,0,47.97,2151.93
TE000197,P001,2023-04-20,E101,Carpenter,40.31,0,42.3,1705.11
TE000198,P001,2023-07-17,E101,Carpenter,37.06,1.79,43.54,1730.5
TE000199,P001,2023-06-18,E207,Laborer,45.84,0,32.71,1499.43
TE000200,P001,2023-06-08,E231,Laborer,43.29,0,28.29,1224.67
TE000201,P001,2023-07-22,E107,Carpenter,45.16,0,39.44,1781.11
TE000202,P001,2023-05-27,E417,Finisher,39.95,0,43.79,1749.41
TE000203,P001,2023-06-23,E405,Finisher,34.01,0,38.17,1298.16
TE000204,P001,2023-06-09,E107,Carpenter,37.45,1.14,38.12,1492.78
TE000205,P001,2023-03-13,E401,Finisher,42.17,0,46.72,1970.18
TE000206,P001,2023-06-30,E423,Finisher,34.15,2.68,38.58,1472.6
TE000207,P001,2023-07-02,E202,Laborer,35.64,0,37.01,1319.04
TE000208,P001,2023-10-11,E115,Carpenter,31.92,0,46.64,1488.75
TE000209,P001,2023-10-08,E134,Carpenter,33.97,2.3,48.21,1804.02
TE000210,P001,2023-08-28,E225,Laborer,33.37,0,30.53,1018.79
TE000211,P001,2023-07-30,E104,Carpenter,37.97,0,47.32,1796.74
TE000212,P001,2023-10-23,E423,Finisher,30.63,0,47.55,1456.46
TE000213,P001,2023-10-09,E219,Laborer,30.22,0,28.57,863.39
TE000214,P001,2023-07-10,E219,Laborer,43.5,0,29.72,1292.82
TE000215,P001,2023-07-08,E401,Finisher,37.39,1.48,44.43,1759.87
TE000216,P001,2023-10-23,E401,Finisher,37.18,0,47.98,1783.9
TE000217,P001,2023-05-15,E115,Carpenter,33.61,3.11,44.87,1717.4
TE000218,P001,2023-05-27,E107,Carpenter,30.74,0,44.7,1374.08
TE000219,P001,2023-06-30,E401,Finisher,36.62,0,37.23,1363.36
TE000220,P001,2023-03-16,E107,Carpenter,30.42,0,42.44,1291.02
TE000221,P001,2023-04-16,E423,Finisher,43.06,5.52,42.27,2170.14
TE000222,P001,2023-07-30,E128,Carpenter,39.99,0,39.44,1577.21
TE000223,P001,2023-07-21,E423,Finisher,35.3,0,46.1,1627.33
TE000224,P001,2023-10-21,E101,Carpenter,45.74,2.39,39.78,1962.15
TE000225,P001,2023-08-30,E107,Carpenter,35.27,0,40.8,1439.02
TE000226,P001,2023-11-09,E401,Finisher,42.59,0,44.16,1880.77
TE000227,P001,2023-11-04,E401,Finisher,37.31,5.78,43.86,2016.68
TE000228,P001,2023-07-10,E225,Laborer,32.02,0,30.59,979.49
TE000229,P001,2023-09-12,E104,Carpenter,45.58,3.02,39.61,1984.86
TE000230,P001,2023-10-19,E231,Laborer,37.29,1.84,33.7,1349.68
TE000231,P001,2023-09-27,E115,Carpenter,32.5,0,48.37,1572.02
TE000232,P001,2023-03-21,E301,Superintendent,19.2274,0,66.72,1282.85
TE000233,P002,2023-02-18,E128,Carpenter,38.97,0,38.82,1512.82
TE000234,P002,2023-05-12,E202,Laborer,32.21,0,36.83,1186.29
TE000235,P002,2023-03-14,E115,Carpenter,33.41,1.98,43.33,1576.35
TE000236,P002,2023-03-20,E417,Finisher,37.55,5.7,39.75,1832.47
TE000237,P002,2023-05-01,E115,Carpenter,37.23,0,41.24,1535.37
TE000238,P002,2023-04-10,E304,Superintendent,39.74,0,54.11,2150.33
TE000239,P002,2023-05-07,E417,Finisher,44.36,2.36,45.4,2174.66
TE000240,P002,2023-05-06,E104,Carpenter,35.67,0,39.65,1414.32
TE000241,P002,2023-05-08,E134,Carpenter,44.11,0,39.01,1720.73
TE000242,P002,2023-04-20,E423,Finisher,45.35,0,48.3,2190.4
TE000243,P002,2023-03-13,E101,Carpenter,43.54,0,38.71,1685.43
TE000244,P002,2023-04-16,E115,Carpenter,45,0,38.85,1748.25
TE000245,P002,2023-02-17,E304,Superintendent,31.06,8.13,59.2,2560.7
TE000246,P002,2023-03-09,E219,Laborer,32.74,0,34.61,1133.13
TE000247,P002,2023-02-19,E401,Finisher,43.05,0,38.73,1667.33
TE000248,P002,2023-03-03,E101,Carpenter,39.56,7.53,38.96,1981.31
TE000249,P002,2023-04-08,E417,Finisher,35.57,0,44.42,1580.02
TE000250,P002,2023-02-11,E405,Finisher,32.46,6.18,37.07,1546.93
TE000251,P002,2023-03-16,E202,Laborer,36.65,0,33.27,1219.35
TE000252,P002,2023-04-26,E219,Laborer,41.57,6.76,28.96,1497.52
TE000253,P002,2023-03-19,E231,Laborer,30.86,6.4,36.15,1462.63
TE000254,P002,2023-03-01,E417,Finisher,41.94,0,42.78,1794.19
TE000255,P002,2023-05-17,E202,Laborer,43.88,0,35.69,1566.08
TE000256,P002,2023-04-05,E107,Carpenter,45.39,0,43.06,1954.49
TE000257,P002,2023-02-11,E134,Carpenter,40.78,2.04,42.31,1854.87
TE000258,P002,2023-05-13,E134,Carpenter,31.64,0,38.39,1214.66
TE000259,P002,2023-03-20,E207,Laborer,43.25,0,33.77,1460.55
TE000260,P002,2023-05-16,E304,Superintendent,39.61,1.2,59.26,2453.96
TE000261,P002,2023-02-27,E104,Carpenter,36.09,0,48.59,1753.61
TE000262,P002,2023-03-04,E101,Carpenter,32.49,3.16,51.94,1933.73
TE000263,P002,2023-05-09,E405,Finisher,40.43,0,39.16,1583.24
TE000264,P002,2023-02-15,E225,Laborer,42.25,0,29.59,1250.18
TE000265,P002,2023-04-27,E309,Superintendent,42.37,0,65.46,2773.54
TE000266,P002,2023-05-06,E309,Superintendent,30.47,0,60.69,1849.22
TE000267,P002,2023-04-07,E417,Finisher,41.72,0,43.91,1831.93
TE000268,P002,2023-04-25,E134,Carpenter,36.73,0,46.94,1724.11
TE000269,P002,2023-03-07,E107,Carpenter,44.57,0,42.54,1896.01
TE000270,P002,2023-03-12,E225,Laborer,32.25,0,32.01,1032.32
TE000271,P002,2023-04-19,E417,Finisher,32.37,0,46.48,1504.56
TE000272,P002,2023-03-29,E405,Finisher,45.6,0,37.4,1705.44
TE000273,P002,2023-04-18,E207,Laborer,44.38,3.96,36.17,1820.07
TE000274,P002,2023-04-27,E134,Carpenter,43.59,0,43.76,1907.5
TE000275,P002,2023-02-28,E423,Finisher,36.49,7.12,40.23,1897.65
TE000276,P002,2023-05-19,E115,Carpenter,30.79,0,44.53,1371.08
TE000277,P002,2023-04-12,E134,Carpenter,41.23,0,47.62,1963.37
TE000278,P002,2023-03-19,E104,Carpenter,35.27,0,49.36,1740.93
TE000279,P002,2023-04-16,E202,Laborer,37.65,0,37.26,1402.84
TE000280,P002,2023-03-21,E312,Superintendent,41.04,5.84,64.12,3193.18
TE000281,P002,2023-04-23,E401,Finisher,30.29,0,44.75,1355.48
TE000282,P002,2023-04-20,E219,Laborer,40.55,0,31.64,1283
TE000283,P002,2023-03-29,E401,Finisher,30.52,0,36.73,1121
TE000284,P002,2023-05-15,E423,Finisher,41.25,0,41.23,1700.74
TE000285,P002,2023-02-10,E304,Superintendent,39.97,0,67.95,2715.96
TE000286,P002,2023-03-30,E115,Carpenter,36.94,0,41.04,1516.02
TE000287,P002,2023-04-23,E202,Laborer,30.32,0,28.12,852.6
TE000288,P002,2023-03-04,E128,Carpenter,41.38,0,45.92,1900.17
TE000289,P002,2023-03-28,E107,Carpenter,41.04,0,46.83,1921.9
TE000290,P002,2023-04-15,E309,Superintendent,36.35,0,67.64,2458.71
TE000291,P002,2023-04-10,E101,Carpenter,38.16,0,44.68,1704.99
TE000292,P002,2023-05-18,E115,Carpenter,30.73,0,44.74,1374.86
TE000293,P002,2023-04-04,E219,Laborer,35.3,0,34.11,1204.08
TE000294,P002,2023-03-21,E301,Superintendent,33.65,0,54.51,1834.26
TE000295,P002,2023-05-18,E134,Carpenter,35.16,0,41.21,1448.94
TE000296,P002,2023-03-01,E312,Superintendent,35.84,0,57.65,2066.18
TE000297,P002,2023-05-13,E417,Finisher,34,0,44.06,1498.04
TE000298,P002,2023-03-10,E417,Finisher,33.97,5.38,46.02,1934.68
TE000299,P002,2023-02-20,E309,Superintendent,41.43,7.28,63.02,3299.1
TE000300,P002,2023-04-30,E309,Superintendent,34,6.44,67.18,2933.08
TE000301,P002,2023-03-26,E128,Carpenter,34.18,4.98,46.88,1952.55
TE000302,P002,2023-05-19,E231,Laborer,30.74,2.24,29.05,990.61
TE000303,P002,2023-04-02,E417,Finisher,40.53,0,41.92,1699.02
TE000304,P002,2023-03-10,E401,Finisher,32.62,0,38.67,1261.42
TE000305,P002,2023-04-14,E219,Laborer,33.76,0,30.39,1025.97
TE000306,P002,2023-03-11,E128,Carpenter,34.38,0,51.14,1758.19
TE000307,P002,2023-04-09,E304,Superintendent,41.59,2.73,56.97,2602.67
TE000308,P002,2023-02-25,E128,Carpenter,42.35,0,40.12,1699.08
TE000309,P002,2023-02-28,E115,Carpenter,42.66,0,41.29,1761.43
TE000310,P002,2023-05-19,E115,Carpenter,33.8,0,42.85,1448.33
TE000311,P002,2023-04-14,E101,Carpenter,32.17,7.89,39.42,1734.68
TE000312,P002,2023-03-07,E219,Laborer,38.38,0,37.65,1445.01
TE000313,P002,2023-03-12,E115,Carpenter,30.04,4.78,43.81,1630.17
TE000314,P002,2023-02-18,E309,Superintendent,36.55,0,66.09,2415.59
TE000315,P002,2023-05-14,E115,Carpenter,34.37,0,45.11,1550.43
TE000316,P002,2023-05-12,E417,Finisher,38.72,2.71,44.8,1916.77
TE000317,P002,2023-05-16,E219,Laborer,41.31,0,36.76,1518.56
TE000318,P002,2023-04-20,E134,Carpenter,30.03,0,49.28,1479.88
TE000319,P002,2023-04-09,E401,Finisher,36.43,0,46.32,1687.44
TE000320,P002,2023-03-15,E309,Superintendent,37.73,0,63.35,2390.2
TE000321,P002,2023-02-24,E417,Finisher,35.62,0,39.53,1408.06
TE000322,P002,2023-03-24,E115,Carpenter,33.3,0,43.16,1437.23
TE000323,P002,2023-05-10,E104,Carpenter,39.64,0,51.53,2042.65
TE000324,P002,2023-04-07,E231,Laborer,42.38,7.66,29.12,1568.69
TE000325,P002,2023-02-28,E417,Finisher,36.07,0,47.3,1706.11
TE000326,P002,2023-04-18,E101,Carpenter,38.88,7.3,41.48,2066.95
TE000327,P002,2023-05-01,E225,Laborer,35.19,0,27.5,967.72
TE000328,P002,2023-05-07,E417,Finisher,37.48,0,47.59,1783.67
TE000329,P002,2023-05-13,E107,Carpenter,42.3,0,44.01,1861.62
TE000330,P002,2023-03-07,E401,Finisher,45.55,0,42.93,1955.46
TE000331,P002,2023-05-14,E309,Superintendent,33,0,63.94,2110.02
TE000332,P002,2023-05-06,E134,Carpenter,42.67,0,47.89,2043.47
TE000333,P002,2023-05-16,E231,Laborer,37.41,0,34.03,1273.06
TE000334,P002,2023-02-26,E309,Superintendent,32.92,0,57.19,1882.69
TE000335,P002,2023-03-17,E107,Carpenter,45.35,0,47.29,2144.6
TE000336,P002,2023-03-04,E231,Laborer,43.06,0,27.13,1168.22
TE000337,P002,2023-04-18,E225,Laborer,34.7,0,34.55,1198.88
TE000338,P002,2023-04-16,E101,Carpenter,13.436,0,50.85,683.22
TE000339,P003,2024-02-11,E115,Carpenter,39.64,0,39.4,1561.82
TE000340,P003,2024-03-26,E225,Laborer,31.94,0,28.62,914.12
TE000341,P003,2024-05-23,E207,Laborer,45.3,0,36.16,1638.05
TE000342,P003,2023-12-14,E115,Carpenter,39.86,0,47.98,1912.48
TE000343,P003,2024-04-01,E202,Laborer,41.96,4.75,34.28,1682.63
TE000344,P003,2024-03-01,E101,Carpenter,40.08,0,41.27,1654.1
TE000345,P003,2024-06-09,E107,Carpenter,36.54,0,45.09,1647.59
TE000346,P003,2024-03-10,E101,Carpenter,30.78,0,48.28,1486.06
TE000347,P003,2024-01-16,E207,Laborer,30.45,0,27.38,833.72
TE000348,P003,2024-01-20,E304,Superintendent,36.69,0,67.69,2483.55
TE000349,P003,2024-02-26,E101,Carpenter,39.14,0,46.91,1836.06
TE000350,P003,2024-01-28,E104,Carpenter,37.88,0,51.28,1942.49
TE000351,P003,2024-07-07,E202,Laborer,35.86,0,32.66,1171.19
TE000352,P003,2024-04-23,E207,Laborer,45.18,0,28.19,1273.62
TE000353,P003,2024-07-02,E207,Laborer,35.55,0,34.37,1221.85
TE000354,P003,2024-05-12,E128,Carpenter,39.37,0,40,1574.8
TE000355,P003,2024-07-04,E107,Carpenter,33.66,0,51.69,1739.89
TE000356,P003,2024-02-04,E417,Finisher,34.81,0,37.87,1318.25
TE000357,P003,2024-03-24,E107,Carpenter,38.87,6.65,38.01,1856.6
TE000358,P003,2024-05-27,E101,Carpenter,30.16,3.38,38.46,1354.95
