change_order_id,project_id,requested_date,change_order_type,reason,status,requested_revenue_change,estimated_cost_change,approved_revenue_change,approval_date,billed_amount,billed_date
CO0043,P025,2024-07-07,additive,Owner scope change,approved,85550.57,59046.51,81075.22,2024-07-16,81075.22,2024-07-18
CO0044,P026,2024-09-01,additive,Unforeseen site condition,approved,158432.46,111370.72,158368.2,2024-09-28,158368.2,2024-10-25
CO0045,P026,2024-09-07,additive,Unforeseen site condition,approved,66830.8,47582.96,62573.95,2024-10-08,0,
CO0046,P027,2023-05-01,additive,Design revision,approved,70955.12,47872.65,65796.71,2023-05-09,65796.71,2023-05-19
CO0047,P027,2023-04-06,additive,Code requirement,withdrawn,114730.65,72848.59,,,,
CO0048,P028,2024-10-25,additive,Unforeseen site condition,PENDING ,13444.52,9954.9,,,,
CO0049,P028,2024-12-23,additive,Owner scope change,approved,16799.65,12485.69,16051.94,2025-01-16,16051.94,2025-01-26
CO0050,P029,2025-05-03,deductive,Code requirement,approved,-57835.09,-39518.13,-55885.13,2025-05-16,0,
CO0051,P030,2024-07-24,additive,Unforeseen site condition,approved,76655.19,61743.28,70554.76,2024-08-13,35277.38,2024-08-30
CO0052,P030,2024-08-29,additive,Unforeseen site condition,approved,81343.22,54790.34,78425.97,2024-10-05,78425.97,2024-10-14
CO0053,P030,2024-09-29,additive,Code requirement,approved,40241.97,24857.92,38704.11,2024-10-15,19352.06,2024-10-25
CO0054,P030,2024-07-19,additive,Design revision,approved,86748.49,68906.36,85171.49,2024-08-20,42585.75,2024-09-12
CO0055,P030,2024-07-19,additive,Material substitution,approved,84567.46,65086.14,82860.4,2024-08-28,82860.4,2024-09-02
CO0056,P030,2024-10-26,additive,Owner scope change,approved,71172.33,52117.33,69065.25,2024-11-19,69065.25,2024-12-19
CO0057,P032,2024-03-01,additive,Code requirement,approved,94822,58790.34,93268.8,2024-04-03,46634.4,2024-04-07
CO0058,P032,2024-04-08,additive,Design revision,withdrawn,37684.72,25494.08,,,,
CO0059,P032,2024-01-09,additive,Unforeseen site condition,approved,90716.37,70799.63,89492.8,2024-01-22,89492.8,2024-02-05
CO0060,P033,2024-02-04,additive,Unforeseen site condition,rejected,48605.35,30980.81,,,,
CO0061,P037,2024-05-02,additive,Design revision,approved,16841.8,12726.33,16320.35,2024-05-18,16320.35,2024-06-01
CO0062,P037,2024-04-05,additive,Owner scope change,withdrawn,33160.67,21654.57,,,,
CO0063,P038,2024-05-28,additive,Design revision,approved,20646.85,14450.22,19451.19,2024-06-27,0,
CO0064,P039,2023-08-04,additive,Owner scope change,rejected,"$43,428.72",34678.37,,,,
CO0065,P040,2024-05-21,additive,Code requirement,approved,45881.83,26677.77,44481.45,2024-06-22,44481.45,2024-07-15
CO0066,P040,2024-03-02,additive,Unforeseen site condition,rejected,58577.1,44969.71,,,,
CO0067,P041,2024-12-13,additive,Owner scope change,withdrawn,96411.83,60325.08,,,,
CO0068,P041,2024-12-08,additive,Unforeseen site condition,approved,70651.53,48834.03,68560.94,2025-01-13,0,
CO0069,P041,2024-07-11,additive,Owner scope change,withdrawn,74615.62,55750.38,,,,
CO0070,P041,2024-07-10,additive,Design revision,rejected,58383.83,39466.04,,,,
CO0071,P042,2024-12-24,additive,Owner scope change,approved,105217.76,64232.21,97085.21,2025-01-29,0,
CO0072,P043,2024-03-24,additive,Design revision,approved,28269.25,17645.46,27322.86,2024-04-09,27322.86,2024-04-18
CO0073,P045,2023-06-06,additive,Code requirement,pending,59104.62,40007.65,,,,
CO0074,P046,2024-06-05,additive,Owner scope change,approved,36993.24,25703.98,35244.66,2024-06-28,35244.66,2024-08-01
CO0075,P046,2024-01-05,additive,Design revision,approved,68930.16,41767.25,66831.29,2024-01-24,66831.29,2024-02-03
CO0076,P046,2023-12-13,additive,Owner scope change,approved,71210.24,50512.51,70012.98,2024-01-09,70012.98,2024-01-27
CO0077,P047,2023-09-03,additive,Unforeseen site condition,withdrawn,145071.97,85991.14,,,,
CO0078,P048,2025-08-04,additive,Unforeseen site condition,pending,16019.35,12005.97,,,,
CO0079,P048,2025-07-28,additive,Owner scope change,approved,34638.46,29767.94,32896.55,2025-08-31,0,
CO0080,P049,2023-12-04,deductive,Owner scope change,approved,-55005.53,-35242.9,-53575.59,2023-12-12,-53575.59,2024-01-15
CO0081,P049,2023-10-27,additive,Owner scope change,rejected,57029.69,41506.15,,,,
CO0082,P050,2024-10-20,additive,Code requirement,approved,18239.1,11354.91,18196.81,2024-11-04,9098.41,2024-11-07
CO0083,P052,2024-03-15,additive,Schedule acceleration,pending,41892.05,32064.61,,,,
CO0084,P052,2024-01-02,additive,Owner scope change,pending,123009.63,103640.38,,,,
CO0085,P052,2024-03-01,additive,Code requirement,approved,92717.4,58606.7,92583.46,2024-03-04,46291.73,2024-03-15
CO0086,P052,2024-02-10,additive,Unforeseen site condition,approved,49310.5,39253.32,48098.5,2024-02-23,48098.5,2024-02-28
CO0087,P053,2024-08-01,deductive,Design revision,approved,-64353.6,-47517.24,-63283.43,2024-08-06,-31641.72,2024-08-15
CO0088,P054,2025-02-03,additive,Design revision,approved,12454.38,7771.3,12022.19,2025-03-01,0,
CO0089,P054,2024-12-08,additive,Design revision,withdrawn,5522.41,4602.56,,,,
CO0090,P056,2024-09-21,additive,Material substitution,pending,6133.71,4742.08,,,,
CO0091,P056,2024-07-27,additive,Design revision,approved,19917.35,11711.26,19623.42,2024-07-31,19623.42,2024-08-24
CO0092,P060,2024-04-27,additive,Material substitution,approved,78291.3,47948.43,77073.27,2024-06-05,0,
CO0093,P061,2025-02-17,additive,Owner scope change,approved,134493.17,95375.54,125409.71,2025-03-26,125409.71,2025-04-28
CO0094,P061,2025-01-23,additive,Owner scope change,approved,101751.78,70271.7,94477.46,2025-02-23,0,
CO0095,P061,2025-04-16,deductive,Owner scope change,approved,-180146.05,-122322.75,-177978.63,2025-05-27,0,
CO0096,P061,2025-03-03,deductive,Owner scope change,approved,-135916.29,-94602.57,-133652.67,2025-03-19,-133652.67,2025-04-09
CO0097,P062,2024-12-19,additive,Code requirement,approved,44337.16,34631.18,42958.41,2024-12-29,0,
CO0098,P062,2024-12-15,additive,Unforeseen site condition,approved,108610.98,69026.78,106961.45,2024-12-19,53480.72,2024-12-29
CO0099,P062,2024-06-26,additive,Owner scope change,approved,80021.27,64559.25,77813.32,2024-07-01,38906.66,2024-07-08
CO0100,P062,2024-12-27,additive,Schedule acceleration,withdrawn,75970.21,55139.51,,,,
CO0101,P062,2024-12-23,additive,Unforeseen site condition,approved,138655.69,103523.41,128935.31,2025-01-20,0,
CO0102,P063,2025-06-02,additive,Unforeseen site condition,approved,16037.11,10892.16,15369.96,2025-06-26,15369.96,2025-07-13
CO0103,P064,2025-01-03,additive,Design revision,approved,51960.03,33971.58,49854.64,2025-02-03,49854.64,2025-02-19
CO0104,P066,2024-06-02,additive,Schedule acceleration,approved,18007.47,13418.64,17632.75,2024-07-14,0,
CO0105,P067,2023-07-18,additive,Owner scope change,approved,21462.61,18062.9,21351.16,2023-08-22,21351.16,2023-09-15
CO0106,P068,2024-12-03,additive,Schedule acceleration,approved,17433.75,11327.54,17253.84,2025-01-08,17253.84,2025-01-27
CO0107,P068,2024-10-27,additive,Unforeseen site condition,approved,57467.19,44361.63,55639.84,2024-11-09,55639.84,2024-12-04
CO0108,P069,2024-10-30,deductive,Code requirement,approved,-46534.2,-39681.57,-43759.35,2024-12-05,-43759.35,2024-12-13
CO0109,P069,2024-09-28,additive,Unforeseen site condition,approved,13901.71,9292.39,13772.97,2024-11-03,0,
CO0110,P070,2024-10-09,additive,Unforeseen site condition,approved,52095.27,40975.29,51225.43,2024-11-05,25612.72,2024-12-07
CO0111,P071,2024-01-15,additive,Design revision,approved,7473.65,5302.78,6910.66,2024-02-07,0,
CO0112,P071,2023-12-06,additive,Unforeseen site condition,approved,9870.52,6534.43,9512.33,2024-01-09,9512.33,2024-01-29
CO0113,P071,2023-11-19,additive,Schedule acceleration,approved,14766.2,9985.83,14132.48,2023-12-09,14132.48,2024-01-06
CO0114,P072,2024-05-22,additive,Owner scope change,approved,49816.87,41266.17,46688.73,2024-06-29,0,
CO0115,P072,2024-06-05,additive,Owner scope change,approved,65289.89,43890.96,62639.59,2024-06-11,31319.79,2024-07-11
CO0116,P072,2024-06-16,additive,Unforeseen site condition,approved,72336.59,55940.44,71218.03,2024-07-11,71218.03,2024-08-13
CO0117,P076,2026-01-25,additive,Owner scope change,approved,65946.71,52540.52,64662.61,2026-02-21,64662.61,2026-03-13
CO0118,P077,2026-06-15,additive,Code requirement,approved,11127.35,8933.39,10781.8,2026-06-20,0,
CO0119,P077,2026-05-11,deductive,Owner scope change,approved,-37075.27,-26587.53,-36633.22,2026-06-21,-36633.22,2026-07-09
CO0120,P078,2026-06-15,additive,Owner scope change,pending,46803.11,30304.76,,,,
CO0121,P078,2026-04-24,additive,Unforeseen site condition,approved,32955.03,25399.45,32782.77,2026-05-07,32782.77,2026-05-11
CO0122,P078,2026-01-27,additive,Design revision,rejected,51976.76,34371.49,,,,
CO0123,P081,2026-03-14,additive,Owner scope change,withdrawn,55382.87,36998.52,,,,
CO0124,P081,2026-01-19,additive,Owner scope change,pending,24076.93,20015.16,,,,
CO0125,P082,2026-01-08,additive,Owner scope change,approved,104902.28,61779.14,96678.34,2026-02-11,48339.17,2026-02-18
CO0126,P085,2025-09-16,additive,Design revision,withdrawn,40207.73,33610.54,,,,
CO0127,P085,2026-05-09,additive,Design revision,approved,16384.25,12947.43,16342.08,2026-06-02,16342.08,2026-06-21
CO0128,P085,2025-11-26,additive,Owner scope change,rejected,43150.33,26200.33,,,,
CO0129,P087,2026-05-10,additive,Unforeseen site condition,approved,34761.79,23462.63,32779.66,2026-06-10,16389.83,2026-06-16
CO0130,P088,2026-04-22,deductive,Material substitution,approved,-6753.32,-4742.42,-6389.43,2026-05-21,-3194.72,2026-06-12
CO0131,P088,2026-05-01,additive,Unforeseen site condition,approved,11646.3,8337.07,11642.58,2026-06-08,11642.58,2026-06-13
CO0132,P090,2025-09-23,additive,Owner scope change,approved,66087.77,45557.28,61533.02,2025-10-13,61533.02,2025-11-03
CO0133,P090,2025-10-03,additive,Owner scope change,pending,40446.03,29836.28,,,,
CO0134,P090,2025-11-01,additive,Design revision,withdrawn,25146.07,18713.18,,,,
CO0135,P090,2025-10-01,additive,Design revision,pending,20277.72,13718.64,,,,
CO0136,P091,2025-09-16,additive,Owner scope change,approved,51984.16,41226.86,49001.55,2025-10-14,24500.78,2025-11-01
CO0137,P091,2026-03-23,additive,Unforeseen site condition,approved,83551.23,63581.47,79024.71,2026-04-05,79024.71,2026-04-27
CO0138,P092,2026-01-19,additive,Owner scope change,withdrawn,60179.13,38955.9,,,,
CO0139,P092,2026-01-09,additive,Design revision,approved,21255.96,14677.46,20046.95,2026-01-19,20046.95,2026-01-22
CO0140,P093,2026-06-25,additive,Owner scope change,pending,118913.44,94580.44,,,,
CO0141,P094,2026-03-02,additive,Code requirement,approved,89865.26,65979.38,85895.29,2026-03-06,85895.29,2026-03-23
CO0142,P094,2026-04-18,additive,Material substitution,approved,78712.99,60951.82,77631.15,2026-05-19,38815.57,2026-06-01
CO0143,P094,2026-03-05,additive,Owner scope change,rejected,19107.59,13842.95,,,,
CO0144,P096,2026-06-03,additive,Code requirement,rejected,73363.19,46729.8,,,,
CO0013,P010,2025-06-17,additive,Code requirement,approved,32134.08,24764.73,29775.68,2025-07-21,14887.84,2025-07-25
CO9999,P994,2026-04-18,additive,Owner scope change,pending,48000,33000,,,,
