transaction_id,project_id,transaction_date,cost_category,vendor_name,description,amount,payment_status
TX000037,P001,2023-06-10,Subcontractors,Precision Electric,Subcontractors purchase,6099.25,paid
TX000038,P001,2023-07-06,Subcontractors,Summit Mechanical,Subcontractors purchase,10708.72,paid
TX000039,P001,2023-06-17,Subcontractors,Northstar Concrete,Subcontractors invoice,19138.81,paid
TX000040,P001,2023-05-17,Subcontractors,Precision Electric,Subcontractors purchase,16267.09,paid
TX000041,P001,2023-05-05,Subcontractors,Precision Electric,Subcontractors invoice,136.47,approved
TX000042,P001,2023-08-25,Equipment,United Rentals,Equipment invoice,2529.57,paid
TX000043,P001,2023-09-01,Equipment,United Rentals,Equipment progress billing,3032.04,paid
TX000044,P001,2023-07-01,Equipment,Sunbelt Rentals,Equipment invoice,2397.7,approved
TX000045,P001,2023-07-20,Equipment,Wasatch Equipment,Equipment site expense,2206.01,paid
TX000046,P001,2023-10-19,Equipment,Sunbelt Rentals,Equipment purchase,2779.2,paid
TX000047,P001,2023-06-10,Equipment,Sunbelt Rentals,Equipment progress billing,689.02,paid
TX000048,P001,2023-09-12,Equipment,Wasatch Equipment,Equipment purchase,3373.27,paid
TX000049,P001,2023-08-16,Equipment,Sunbelt Rentals,Equipment progress billing,856.16,paid
TX000050,P001,2023-03-19,Equipment,Sunbelt Rentals,Equipment invoice,1951.62,paid
TX000051,P001,2023-04-17,Equipment,Sunbelt Rentals,Equipment progress billing,3217.04,paid
TX000052,P001,2023-09-09,Equipment,Sunbelt Rentals,Equipment progress billing,3520.36,paid
TX000053,P001,2023-08-15,Equipment,Wasatch Equipment,Equipment progress billing,1639.93,paid
TX000054,P001,2023-07-28,Equipment,United Rentals,Equipment progress billing,2405.98,paid
TX000055,P001,2023-06-19,Equipment,Wasatch Equipment,Equipment invoice,2081.75,pending
TX000056,P001,2023-05-14,Equipment,Sunbelt Rentals,Equipment progress billing,3113.39,paid
TX000057,P001,2023-08-23,Equipment,Wasatch Equipment,Equipment purchase,2543.16,paid
TX000058,P001,2023-04-09,Equipment,United Rentals,Equipment invoice,1205.39,paid
TX000059,P001,2023-03-21,Equipment,United Rentals,Equipment purchase,1505.21,approved
TX000060,P001,2023-05-26,Equipment,Sunbelt Rentals,Equipment invoice,3570.8,paid
TX000061,P001,2023-10-17,Permits & Fees,Third-Party Inspection Services,Permits & Fees invoice,1460.05,paid
TX000062,P001,2023-04-02,Permits & Fees,Third-Party Inspection Services,Permits & Fees invoice,1810.12,paid
TX000063,P001,2023-07-04,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,2560.75,paid
TX000064,P001,2023-09-30,Permits & Fees,Third-Party Inspection Services,Permits & Fees purchase,1969.33,pending
TX000065,P001,2023-06-06,Permits & Fees,Municipal Permit Office,Permits & Fees purchase,1580.6,paid
TX000066,P001,2023-04-14,Permits & Fees,Municipal Permit Office,Permits & Fees progress billing,1997.47,paid
TX000067,P001,2023-05-25,Permits & Fees,Third-Party Inspection Services,Permits & Fees invoice,1024.14,approved
TX000068,P001,2023-06-28,Permits & Fees,Municipal Permit Office,Permits & Fees site expense,1137.31,paid
TX000069,P001,2023-07-27,Permits & Fees,Third-Party Inspection Services,Permits & Fees site expense,1316.54,paid
TX000070,P001,2023-06-17,Permits & Fees,Municipal Permit Office,Permits & Fees purchase,1780.16,approved
TX000071,P001,2023-06-25,Permits & Fees,Municipal Permit Office,Permits & Fees purchase,580.34,paid
TX000072,P001,2023-07-09,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,899.29,paid
TX000073,P001,2023-05-07,Permits & Fees,Third-Party Inspection Services,Permits & Fees site expense,1832.04,paid
TX000074,P001,2023-10-11,Permits & Fees,Municipal Permit Office,Permits & Fees site expense,1955.18,paid
TX000075,P001,2023-07-24,Permits & Fees,Third-Party Inspection Services,Permits & Fees invoice,1587.61,paid
TX000076,P001,2023-11-09,Permits & Fees,Third-Party Inspection Services,Permits & Fees progress billing,2341.09,paid
TX000077,P001,2023-09-24,Permits & Fees,Municipal Permit Office,Permits & Fees progress billing,2418.04,paid
TX000078,P001,2023-10-31,Permits & Fees,Municipal Permit Office,Permits & Fees purchase,2903.55,paid
TX000079,P001,2023-03-21,Permits & Fees,Municipal Permit Office,Permits & Fees site expense,1507.17,paid
TX000080,P001,2023-06-24,Permits & Fees,Municipal Permit Office,Permits & Fees progress billing,2228.53,paid
TX000081,P001,2023-09-17,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,726.9,paid
TX000082,P001,2023-07-25,General Conditions,SecureSite Fencing,General Conditions progress billing,7239.79,paid
TX000083,P001,2023-07-10,General Conditions,Site Services LLC,General Conditions invoice,6385.11,paid
TX000084,P001,2023-06-18,General Conditions,Site Services LLC,General Conditions purchase,5063.1,paid
TX000085,P001,2023-03-16,General Conditions,Site Services LLC,General Conditions site expense,7382.29,paid
TX000086,P001,2023-07-24,General Conditions,SecureSite Fencing,General Conditions invoice,1865.91,paid
TX000087,P001,2023-09-25,General Conditions,Temporary Power Utah,General Conditions purchase,7571.7,paid
TX000088,P001,2023-03-17,General Conditions,SecureSite Fencing,General Conditions progress billing,5471.61,approved
TX000089,P001,2023-11-03,General Conditions,SecureSite Fencing,General Conditions invoice,4632.29,paid
TX000090,P001,2023-11-10,General Conditions,Temporary Power Utah,General Conditions site expense,6100.52,pending
TX000091,P001,2023-04-30,General Conditions,Temporary Power Utah,General Conditions invoice,7336.39,approved
TX000092,P001,2023-06-28,General Conditions,Temporary Power Utah,General Conditions site expense,5444.33,approved
TX000093,P001,2023-10-01,General Conditions,SecureSite Fencing,General Conditions purchase,6455.94,paid
TX000094,P001,2023-05-18,General Conditions,Temporary Power Utah,General Conditions site expense,6225.68,paid
TX000095,P001,2023-09-05,General Conditions,SecureSite Fencing,General Conditions invoice,5013.33,paid
TX000096,P001,2023-03-22,General Conditions,Temporary Power Utah,General Conditions purchase,3972.65,paid
TX000097,P001,2023-09-01,General Conditions,SecureSite Fencing,General Conditions site expense,765.23,paid
TX000098,P001,2023-08-29,Other,Miscellaneous Vendor,Other purchase,2627.16,paid
TX000099,P001,2023-04-08,Other,Project Reimbursement,Other purchase,2748.45,paid
TX000100,P001,2023-09-06,Other,Miscellaneous Vendor,Other site expense,2033.71,paid
TX000101,P001,2023-09-22,Other,Office Depot,Other site expense,1525.17,paid
TX000102,P001,2023-09-02,Other,Project Reimbursement,Other invoice,1459.65,pending
TX000103,P001,2023-06-21,Other,Miscellaneous Vendor,Other site expense,1431.6,paid
TX000104,P001,2023-04-19,Other,Office Depot,Other site expense,678.41,paid
TX000105,P001,2023-03-16,Other,Project Reimbursement,Other site expense,1424.44,paid
TX000106,P001,2023-04-18,Other,Miscellaneous Vendor,Other progress billing,649.32,paid
TX000107,P001,2023-03-21,Other,Miscellaneous Vendor,Other purchase,646.77,paid
TX000108,P001,2023-06-03,Other,Miscellaneous Vendor,Other purchase,1329.26,paid
TX000109,P001,2023-04-07,Other,Office Depot,Other site expense,969.68,paid
TX000110,P001,2023-11-01,Other,Office Depot,Other invoice,2470.02,paid
TX000111,P001,2023-06-13,Other,Miscellaneous Vendor,Other purchase,1255.35,paid
TX000112,P001,2023-04-27,Other,Office Depot,Other site expense,2524.19,approved
TX000113,P001,2023-11-08,Other,Project Reimbursement,Other invoice,982.86,paid
TX000114,P001,2023-05-25,Other,Miscellaneous Vendor,Other site expense,614.41,paid
TX000115,P001,2023-09-19,Other,Project Reimbursement,Other purchase,1110.54,paid
TX000116,P001,2023-08-15,Other,Office Depot,Other site expense,1367.27,paid
TX000117,P001,2023-05-10,Other,Office Depot,Other purchase,2067.59,approved
TX000118,P001,2023-06-24,Other,Project Reimbursement,Other purchase,2693.5,paid
TX000119,P001,2023-06-17,Other,Project Reimbursement,Other site expense,525.47,paid
TX000120,P001,2023-09-01,Other,Office Depot,Other site expense,1088.54,paid
TX000121,P002,2023-02-21,Materials,Wasatch Lumber,Materials invoice,4308.04,approved
TX000122,P002,2023-03-29,Materials,Wasatch Lumber,Materials invoice,13800.14,paid
TX000123,P002,2023-04-09,Materials,Builders FirstSource,Materials progress billing,10077.14,approved
TX000124,P002,2023-05-14,Materials,Builders FirstSource,Materials progress billing,7228.31,paid
TX000125,P002,2023-02-23,Materials,Wasatch Lumber,Materials site expense,14220.68,paid
TX000126,P002,2023-04-17,Materials,Desert Steel & Glass,Materials site expense,11498.45,paid
TX000127,P002,2023-03-21,Materials,Mountain Supply Co.,Materials site expense,3409.71,paid
TX000128,P002,2023-05-16,Materials,Mountain Supply Co.,Materials purchase,8870.99,approved
TX000129,P002,2023-03-21,Materials,Rocky Mountain Tile,Materials site expense,11875.59,paid
TX000130,P002,2023-04-05,Materials,Wasatch Lumber,Materials purchase,13625.45,paid
TX000131,P002,2023-02-28,Materials,Desert Steel & Glass,Materials site expense,2560.53,paid
TX000132,P002,2023-05-15,Materials,Mountain Supply Co.,Materials progress billing,2746.73,paid
TX000133,P002,2023-03-18,Materials,Desert Steel & Glass,Materials invoice,14312.72,paid
TX000134,P002,2023-05-01,Materials,Rocky Mountain Tile,Materials progress billing,6180.44,pending
TX000135,P002,2023-04-19,Materials,Builders FirstSource,Materials progress billing,5103.9,pending
TX000136,P002,2023-03-08,Materials,Wasatch Lumber,Materials purchase,7311.48,paid
TX000137,P002,2023-03-26,Materials,Mountain Supply Co.,Materials purchase,6583.84,paid
TX000138,P002,2023-03-01,Materials,Builders FirstSource,Materials site expense,14821.14,paid
TX000139,P002,2023-02-16,Materials,Desert Steel & Glass,Materials progress billing,6684.32,approved
TX000140,P002,2023-04-10,Materials,Builders FirstSource,Materials site expense,2751.02,paid
TX000141,P002,2023-02-21,Subcontractors,Summit Mechanical,Subcontractors invoice,16113.65,paid
TX000142,P002,2023-05-11,Subcontractors,Precision Electric,Subcontractors purchase,13180.43,approved
TX000143,P002,2023-04-11,Subcontractors,Summit Mechanical,Subcontractors progress billing,14090.55,paid
TX000144,P002,2023-03-24,Subcontractors,Atlas Drywall,Subcontractors invoice,3916.41,paid
TX000145,P002,2023-03-14,Subcontractors,Precision Electric,Subcontractors invoice,8133.46,approved
TX000146,P002,2023-05-12,Subcontractors,Precision Electric,Subcontractors invoice,16566.81,paid
TX000147,P002,2023-03-17,Subcontractors,FlowRight Plumbing,Subcontractors invoice,7195.5,paid
TX000148,P002,2023-02-10,Subcontractors,Precision Electric,Subcontractors site expense,14409.9,paid
TX000149,P002,2023-03-03,Subcontractors,FlowRight Plumbing,Subcontractors invoice,9706.67,paid
TX000150,P002,2023-04-04,Subcontractors,Northstar Concrete,Subcontractors progress billing,16577.03,paid
TX000151,P002,2023-03-01,Subcontractors,Northstar Concrete,Subcontractors purchase,4450.21,approved
TX000152,P002,2023-05-15,Subcontractors,FlowRight Plumbing,Subcontractors invoice,16139.68,approved
TX000153,P002,2023-04-11,Subcontractors,Atlas Drywall,Subcontractors invoice,7174.59,paid
TX000154,P002,2023-04-17,Subcontractors,Atlas Drywall,Subcontractors purchase,14006.84,pending
TX000155,P002,2023-02-14,Subcontractors,Northstar Concrete,Subcontractors site expense,6403.8,paid
TX000156,P002,2023-02-24,Subcontractors,FlowRight Plumbing,Subcontractors site expense,9430.56,paid
TX000157,P002,2023-02-23,Subcontractors,Atlas Drywall,Subcontractors purchase,5479.75,paid
TX000158,P002,2023-04-24,Subcontractors,Precision Electric,Subcontractors progress billing,4803.01,paid
TX000159,P002,2023-04-08,Equipment,Sunbelt Rentals,Equipment purchase,2188.48,paid
TX000160,P002,2023-02-22,Equipment,United Rentals,Equipment progress billing,2247.5,paid
TX000161,P002,2023-05-11,Equipment,Wasatch Equipment,Equipment site expense,2221.82,approved
TX000162,P002,2023-02-17,Equipment,Wasatch Equipment,Equipment purchase,1130.81,paid
TX000163,P002,2023-05-04,Equipment,Sunbelt Rentals,Equipment site expense,522.13,pending
TX000164,P002,2023-03-15,Equipment,Sunbelt Rentals,Equipment purchase,2019.89,paid
TX000165,P002,2023-04-21,Equipment,United Rentals,Equipment progress billing,2341.56,paid
TX000166,P002,2023-02-14,Equipment,Wasatch Equipment,Equipment site expense,1378.7,paid
TX000167,P002,2023-03-29,Equipment,United Rentals,Equipment site expense,2419.65,paid
TX000168,P002,2023-03-06,Equipment,Sunbelt Rentals,Equipment purchase,511.7,paid
TX000169,P002,2023-04-15,Equipment,Wasatch Equipment,Equipment purchase,997.95,paid
TX000170,P002,2023-03-22,Equipment,Sunbelt Rentals,Equipment invoice,2361.07,paid
TX000171,P002,2023-04-05,Equipment,Sunbelt Rentals,Equipment invoice,1359.11,paid
TX000172,P002,2023-03-26,Equipment,United Rentals,Equipment purchase,1773.67,paid
TX000173,P002,2023-04-26,Equipment,Sunbelt Rentals,Equipment invoice,2417.23,paid
TX000174,P002,2023-03-16,Equipment,Sunbelt Rentals,Equipment purchase,1456.5,paid
TX000175,P002,2023-04-03,Equipment,Sunbelt Rentals,Equipment purchase,367.54,paid
TX000176,P002,2023-03-16,Permits & Fees,Third-Party Inspection Services,Permits & Fees site expense,624.64,paid
TX000177,P002,2023-04-12,Permits & Fees,Third-Party Inspection Services,Permits & Fees progress billing,598.52,pending
TX000178,P002,2023-03-27,Permits & Fees,Municipal Permit Office,Permits & Fees site expense,2072.3,paid
TX000179,P002,2023-05-16,Permits & Fees,Municipal Permit Office,Permits & Fees purchase,1808.39,paid
TX000180,P002,2023-03-29,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,823.62,paid
TX000181,P002,2023-03-31,Permits & Fees,Third-Party Inspection Services,Permits & Fees purchase,623.66,paid
TX000182,P002,2023-02-18,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,1620,paid
TX000183,P002,2023-03-22,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,1633.98,paid
TX000184,P002,2023-03-14,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,2204.97,paid
TX000185,P002,2023-02-13,Permits & Fees,Third-Party Inspection Services,Permits & Fees progress billing,1277.96,paid
TX000186,P002,2023-02-15,Permits & Fees,Third-Party Inspection Services,Permits & Fees progress billing,1956.11,approved
TX000187,P002,2023-04-27,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,556.04,pending
TX000188,P002,2023-05-15,Permits & Fees,Municipal Permit Office,Permits & Fees site expense,1755.79,paid
TX000189,P002,2023-03-23,Permits & Fees,Third-Party Inspection Services,Permits & Fees progress billing,757.55,paid
TX000190,P002,2023-05-07,Permits & Fees,Municipal Permit Office,Permits & Fees purchase,2374.38,paid
TX000191,P002,2023-04-06,Permits & Fees,Third-Party Inspection Services,Permits & Fees purchase,687.04,approved
TX000192,P002,2023-04-27,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,539.97,pending
TX000193,P002,2023-04-10,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,2215.19,paid
TX000194,P002,2023-04-04,Permits & Fees,Third-Party Inspection Services,Permits & Fees purchase,1315.28,pending
TX000195,P002,2023-03-03,Permits & Fees,Third-Party Inspection Services,Permits & Fees invoice,517.37,paid
TX000196,P002,2023-02-27,Permits & Fees,Third-Party Inspection Services,Permits & Fees invoice,1563.64,approved
TX000197,P002,2023-03-29,General Conditions,SecureSite Fencing,General Conditions progress billing,890.16,paid
TX000198,P002,2023-03-30,General Conditions,Temporary Power Utah,General Conditions invoice,4899.81,approved
TX000199,P002,2023-03-23,General Conditions,Temporary Power Utah,General Conditions progress billing,4677.88,paid
TX000200,P002,2023-02-15,General Conditions,Temporary Power Utah,General Conditions site expense,4075.35,pending
TX000201,P002,2023-04-14,General Conditions,SecureSite Fencing,General Conditions site expense,3785.99,paid
TX000202,P002,2023-05-18,General Conditions,Temporary Power Utah,General Conditions progress billing,3828.9,approved
TX000203,P002,2023-05-09,General Conditions,Site Services LLC,General Conditions progress billing,4523.94,paid
TX000204,P002,2023-04-01,General Conditions,SecureSite Fencing,General Conditions invoice,958.2,paid
TX000205,P002,2023-03-24,General Conditions,Site Services LLC,General Conditions site expense,1156.25,approved
TX000206,P002,2023-04-10,General Conditions,Temporary Power Utah,General Conditions invoice,4203.1,paid
TX000207,P002,2023-04-24,General Conditions,SecureSite Fencing,General Conditions progress billing,1319.7,paid
TX000208,P002,2023-04-17,General Conditions,Site Services LLC,General Conditions purchase,4449.06,paid
TX000209,P002,2023-03-22,General Conditions,SecureSite Fencing,General Conditions site expense,2005.69,pending
TX000210,P002,2023-02-14,General Conditions,SecureSite Fencing,General Conditions purchase,1632.11,paid
TX000211,P002,2023-02-21,General Conditions,Site Services LLC,General Conditions invoice,1982.05,paid
TX000212,P002,2023-05-03,General Conditions,Site Services LLC,General Conditions invoice,4350.98,paid
TX000213,P002,2023-03-01,General Conditions,Site Services LLC,General Conditions invoice,3946.44,paid
TX000214,P002,2023-02-13,General Conditions,SecureSite Fencing,General Conditions purchase,4617.18,paid
TX000215,P002,2023-04-03,General Conditions,Temporary Power Utah,General Conditions site expense,1768.52,approved
TX000216,P002,2023-02-27,Other,Project Reimbursement,Other purchase,951.12,paid
TX000217,P002,2023-03-11,Other,Project Reimbursement,Other purchase,1700.63,approved
TX000218,P002,2023-05-09,Other,Office Depot,Other site expense,344.15,paid
TX000219,P002,2023-04-26,Other,Project Reimbursement,Other progress billing,761.86,pending
TX000220,P002,2023-03-26,Other,Project Reimbursement,Other invoice,1343.11,paid
TX000221,P002,2023-02-18,Other,Office Depot,Other site expense,1375.65,approved
TX000222,P002,2023-05-04,Other,Project Reimbursement,Other progress billing,1931.92,paid
TX000223,P002,2023-04-24,Other,Miscellaneous Vendor,Other progress billing,1938.99,approved
TX000224,P002,2023-04-28,Other,Miscellaneous Vendor,Other site expense,988.26,pending
TX000225,P002,2023-02-21,Other,Miscellaneous Vendor,Other progress billing,523.18,paid
TX000226,P002,2023-03-11,Other,Miscellaneous Vendor,Other purchase,1443.86,paid
TX000227,P002,2023-04-16,Other,Miscellaneous Vendor,Other purchase,1494.25,paid
TX000228,P002,2023-03-22,Other,Miscellaneous Vendor,Other purchase,493.38,approved
TX000229,P002,2023-05-18,Other,Miscellaneous Vendor,Other purchase,1011.78,approved
TX000230,P002,2023-05-11,Other,Office Depot,Other purchase,1330.94,paid
TX000231,P002,2023-04-24,Other,Miscellaneous Vendor,Other purchase,887.82,paid
TX000232,P002,2023-03-06,Other,Office Depot,Other invoice,1210.87,paid
TX000233,P002,2023-03-01,Other,Project Reimbursement,Other progress billing,682.56,paid
TX000234,P002,2023-03-31,Other,Miscellaneous Vendor,Other progress billing,996.75,paid
TX000235,P002,2023-05-18,Other,Office Depot,Other site expense,216.12,paid
TX000236,P003,2024-05-13,Materials,Builders FirstSource,Materials site expense,37333.03,approved
TX000237,P003,2023-12-29,Materials,Builders FirstSource,Materials purchase,26787.8,paid
TX000238,P003,2024-05-31,Materials,Desert Steel & Glass,Materials site expense,12691.32,paid
TX000239,P003,2024-06-12,Materials,Desert Steel & Glass,Materials invoice,12798.8,paid
TX000240,P003,2024-05-11,Materials,Mountain Supply Co.,Materials site expense,28785.72,paid
TX000241,P003,2024-01-28,Materials,Wasatch Lumber,Materials progress billing,8880.21,paid
TX000242,P003,2024-06-23,Materials,Rocky Mountain Tile,Materials invoice,16511.67,paid
TX000243,P003,2024-01-01,Materials,Rocky Mountain Tile,Materials site expense,36883.05,paid
TX000244,P003,2024-02-02,Materials,Mountain Supply Co.,Materials site expense,12668.14,paid
TX000245,P003,2024-02-26,Materials,Builders FirstSource,Materials invoice,11270.93,approved
TX000246,P003,2024-02-12,Materials,Desert Steel & Glass,Materials site expense,25319.47,paid
TX000247,P003,2024-02-13,Materials,Mountain Supply Co.,Materials progress billing,25476.83,paid
TX000248,P003,2024-01-12,Materials,Wasatch Lumber,Materials purchase,38084.15,paid
TX000249,P003,2024-04-08,Materials,Builders FirstSource,Materials site expense,12073.4,paid
TX000250,P003,2024-03-04,Materials,Rocky Mountain Tile,Materials invoice,27373.55,paid
TX000251,P003,2024-07-06,Materials,Builders FirstSource,Materials progress billing,21777.31,paid
TX000252,P003,2024-01-30,Materials,Wasatch Lumber,Materials progress billing,7234.44,paid
TX000253,P003,2024-02-19,Materials,Rocky Mountain Tile,Materials invoice,38077.35,paid
TX000254,P003,2024-05-09,Materials,Desert Steel & Glass,Materials purchase,18784.45,paid
TX000255,P003,2024-01-18,Materials,Mountain Supply Co.,Materials invoice,10421.93,paid
TX000256,P003,2024-01-14,Subcontractors,FlowRight Plumbing,Subcontractors invoice,29050.28,paid
TX000257,P003,2024-05-20,Subcontractors,Atlas Drywall,Subcontractors site expense,31572.2,paid
TX000258,P003,2024-02-14,Subcontractors,FlowRight Plumbing,Subcontractors site expense,35590.63,paid
TX000259,P003,2024-06-29,Subcontractors,Atlas Drywall,Subcontractors site expense,27759.49,paid
TX000260,P003,2024-07-03,Subcontractors,Atlas Drywall,Subcontractors progress billing,20823.84,paid
TX000261,P003,2024-02-28,Subcontractors,Precision Electric,Subcontractors purchase,37840.57,approved
TX000262,P003,2024-01-25,Subcontractors,FlowRight Plumbing,Subcontractors invoice,26507.74,pending
TX000263,P003,2024-03-07,Subcontractors,FlowRight Plumbing,Subcontractors progress billing,13607.59,paid
TX000264,P003,2024-02-24,Subcontractors,Summit Mechanical,Subcontractors progress billing,23451.18,approved
TX000265,P003,2024-03-30,Subcontractors,Summit Mechanical,Subcontractors invoice,25197.88,paid
TX000266,P003,2024-02-16,Subcontractors,Summit Mechanical,Subcontractors progress billing,33821.12,approved
TX000267,P003,2024-01-21,Subcontractors,FlowRight Plumbing,Subcontractors invoice,20992.08,paid
TX000268,P003,2024-03-13,Subcontractors,Summit Mechanical,Subcontractors progress billing,20411.57,paid
TX000269,P003,2024-02-01,Subcontractors,Northstar Concrete,Subcontractors invoice,8234.36,paid
TX000270,P003,2024-02-22,Subcontractors,Precision Electric,Subcontractors progress billing,14361.18,paid
TX000271,P003,2024-01-12,Subcontractors,Northstar Concrete,Subcontractors purchase,25161.38,paid
TX000272,P003,2023-12-19,Subcontractors,FlowRight Plumbing,Subcontractors progress billing,32645.35,paid
TX000273,P003,2024-06-10,Subcontractors,Summit Mechanical,Subcontractors progress billing,15412.62,paid
TX000274,P003,2024-06-17,Subcontractors,FlowRight Plumbing,Subcontractors purchase,8278.47,paid
TX000275,P003,2024-03-15,Equipment,Sunbelt Rentals,Equipment invoice,888.45,paid
TX000276,P003,2023-12-28,Equipment,United Rentals,Equipment purchase,2593.77,paid
TX000277,P003,2024-06-28,Equipment,Wasatch Equipment,Equipment invoice,4710.17,approved
TX000278,P003,2024-05-10,Equipment,United Rentals,Equipment progress billing,1744.46,paid
TX000279,P003,2024-06-12,Equipment,Sunbelt Rentals,Equipment invoice,4639.19,paid
TX000280,P003,2024-01-26,Equipment,United Rentals,Equipment purchase,2558.48,paid
TX000281,P003,2024-01-23,Equipment,United Rentals,Equipment purchase,1664.56,paid
TX000282,P003,2024-02-11,Equipment,United Rentals,Equipment purchase,2514.12,paid
TX000283,P003,2024-04-19,Equipment,Sunbelt Rentals,Equipment purchase,4275.04,paid
TX000284,P003,2024-02-11,Equipment,Sunbelt Rentals,Equipment progress billing,2058.58,pending
TX000285,P003,2024-02-17,Equipment,United Rentals,Equipment progress billing,1415.21,paid
TX000286,P003,2024-06-26,Equipment,Wasatch Equipment,Equipment progress billing,3968.11,paid
TX000287,P003,2024-02-23,Equipment,Sunbelt Rentals,Equipment site expense,4708.67,paid
TX000288,P003,2024-05-23,Equipment,United Rentals,Equipment invoice,3051.61,paid
TX000289,P003,2024-01-14,Equipment,United Rentals,Equipment invoice,1564.96,paid
TX000290,P003,2024-01-16,Equipment,United Rentals,Equipment progress billing,1561.4,paid
TX000291,P003,2024-02-18,Equipment,Sunbelt Rentals,Equipment site expense,3677.86,paid
TX000292,P003,2024-06-21,Equipment,Wasatch Equipment,Equipment invoice,1545.07,paid
TX000293,P003,2024-01-07,Equipment,United Rentals,Equipment progress billing,936.06,approved
TX000294,P003,2024-05-03,Equipment,United Rentals,Equipment purchase,2053.39,approved
TX000295,P003,2024-04-23,Equipment,Wasatch Equipment,Equipment site expense,1315.11,paid
TX000296,P003,2023-12-27,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,1601.11,paid
TX000297,P003,2024-06-05,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,2021.17,approved
TX000298,P003,2024-05-21,Permits & Fees,Municipal Permit Office,Permits & Fees invoice,5174.15,paid
