budget_line_id,project_id,cost_category,original_budget_amount,approved_budget_change,revised_budget_amount
BUD-P010-07,P010,Other,16182,967.81,17149.81
BUD-P011-01,P011,Labor,207500,0,207500
BUD-P011-02,P011,Materials,199200,0,199200
BUD-P011-03,P011,Subcontractors,257300,0,257300
BUD-P011-04,P011,Equipment,41500,0,41500
BUD-P011-05,P011,Permits & Fees,33200,0,33200
BUD-P011-06,P011,General Conditions,66400,0,66400
BUD-P011-07,P011,Other,24900,0,24900
BUD-P012-01,P012,Labor,225016,33426.69,258442.69
BUD-P012-02,P012,Materials,286384,36884.62,323268.62
BUD-P012-03,P012,Subcontractors,317068,31121.4,348189.4
BUD-P012-04,P012,Equipment,40912,3457.93,44369.93
BUD-P012-05,P012,Permits & Fees,61368,2305.29,63673.29
BUD-P012-06,P012,General Conditions,71596,5763.22,77359.22
BUD-P012-07,P012,Other,20456,2305.3,22761.3
BUD-P013-01,P013,Labor,487828,0,487828
BUD-P013-02,P013,Materials,620872,0,620872
BUD-P013-03,P013,Subcontractors,687394,0,687394
BUD-P013-04,P013,Equipment,88696,0,88696
BUD-P013-05,P013,Permits & Fees,133044,0,133044
BUD-P013-06,P013,General Conditions,155218,0,155218
BUD-P013-07,P013,Other,44348,0,44348
BUD-P014-01,P014,Labor,536404,0,536404
BUD-P014-02,P014,Materials,682696,0,682696
BUD-P014-03,P014,Subcontractors,755842,0,755842
BUD-P014-04,P014,Equipment,97528,0,97528
BUD-P014-05,P014,Permits & Fees,146292,0,146292
BUD-P014-06,P014,General Conditions,170674,0,170674
BUD-P014-07,P014,Other,48764,0,48764
BUD-P015-01,P015,Labor,275049,15178.7,290227.7
BUD-P015-02,P015,Materials,254675,16748.91,271423.91
BUD-P015-03,P015,Subcontractors,285236,14131.89,299367.89
BUD-P015-04,P015,Equipment,40748,1570.21,42318.21
BUD-P015-05,P015,Permits & Fees,40748,1046.81,41794.81
BUD-P015-06,P015,General Conditions,91683,2617.02,94300.02
BUD-P015-07,P015,Other,30561,1046.8,31607.8
BUD-P016-01,P016,Labor,110575,4604.12,115179.12
BUD-P016-02,P016,Materials,106152,5080.41,111232.41
BUD-P016-03,P016,Subcontractors,137113,4286.6,141399.6
BUD-P016-04,P016,Equipment,22115,476.29,22591.29
BUD-P016-05,P016,Permits & Fees,17692,317.53,18009.53
BUD-P016-06,P016,General Conditions,35384,793.81,36177.81
BUD-P016-07,P016,Other,13269,317.52,13586.52
BUD-P017-01,P017,Labor,371318,18268,389586
BUD-P017-02,P017,Materials,383296,20157.8,403453.8
BUD-P017-03,P017,Subcontractors,239560,17008.14,256568.14
BUD-P017-04,P017,Equipment,47912,1889.79,49801.79
BUD-P017-05,P017,Permits & Fees,35934,1259.86,37193.86
BUD-P017-06,P017,General Conditions,83846,3149.66,86995.66
BUD-P017-07,P017,Other,35934,1259.87,37193.87
BUD-P018-01,P018,Labor,314938,0,314938
BUD-P018-02,P018,Materials,351277,0,351277
BUD-P018-03,P018,Subcontractors,327051,0,327051
BUD-P018-04,P018,Equipment,60565,0,60565
BUD-P018-05,P018,Permits & Fees,36339,0,36339
BUD-P018-06,P018,General Conditions,84791,0,84791
BUD-P018-07,P018,Other,36339,0,36339
BUD-P019-01,P019,Labor,122388,8450.79,130838.79
BUD-P019-02,P019,Materials ,126336,9325.01,135661.01
BUD-P019-03,P019,Subcontractors,78960,7867.98,86827.98
BUD-P019-04,P019,Equipment,15792,874.22,16666.22
BUD-P019-05,P019,Permits & Fees,11844,582.81,12426.81
BUD-P019-06,P019,General Conditions,27636,1457.03,29093.03
BUD-P019-07,P019,Other,11844,582.81,12426.81
BUD-P020-01,P020,Labor,209219,23972.54,233191.54
BUD-P020-02,P020,Materials,215968,26452.46,242420.46
BUD-P020-03,P020,Subcontractors,134980,22319.26,157299.26
BUD-P020-04,P020,Equipment,26996,2479.92,29475.92
BUD-P020-05,P020,Permits & Fees,20247,1653.28,21900.28
BUD-P020-06,P020,General Conditions,47243,4133.2,51376.2
BUD-P020-07,P020,Other,20247,1653.27,21900.27
BUD-P021-01,P021,Labor,561131,76380.16,637511.16
BUD-P021-02,P021,Materials,579232,84281.56,663513.56
BUD-P021-03,P021,Subcontractors,362020,71112.56,433132.56
BUD-P021-04,P021,Equipment,72404,7901.4,80305.4
BUD-P021-05,P021,Permits & Fees,54303,5267.6,59570.6
BUD-P021-06,P021,General Conditions,126707,13168.99,139875.99
BUD-P021-07,P021,Other,54303,5267.59,59570.59
BUD-P022-01,P022,Labor,758420,21075.08,779495.08
BUD-P022-02,P022,Materials,845930,23255.26,869185.26
BUD-P022-03,P022,Subcontractors,787590,19621.62,807211.62
BUD-P022-04,P022,Equipment,145850,2180.18,148030.18
BUD-P022-05,P022,Permits & Fees,87510,1453.45,88963.45
BUD-P022-06,P022,General Conditions,204190,3633.63,207823.63
BUD-P022-07,P022,Other,87510,1453.46,88963.46
BUD-P023-01,P023,Labor,663702,0,663702
BUD-P023-02,P023,Materials,740283,0,740283
BUD-P023-03,P023,Subcontractors,689229,0,689229
BUD-P023-04,P023,Equipment,127635,0,127635
BUD-P023-05,P023,Permits & Fees,76581,0,76581
BUD-P023-06,P023,General Conditions,178689,0,178689
BUD-P023-07,P023,Other,76581,0,76581
BUD-P024-01,P024,Labor,304587,18647.71,323234.71
BUD-P024-02,P024,Materials,282025,20576.79,302601.79
BUD-P024-03,P024,Subcontractors,315868,17361.66,333229.66
BUD-P024-04,P024,Equipment,45124,1929.07,47053.07
BUD-P024-05,P024,Permits & Fees,45124,1286.05,46410.05
BUD-P024-06,P024,General Conditions,101529,3215.12,104744.12
BUD-P024-07,P024,Other,33843,1286.06,35129.06
BUD-P025-01,P025,Labor,574678,17123.49,591801.49
BUD-P025-02,P025,Materials,640987,18894.88,659881.88
BUD-P025-03,P025,Subcontractors,596781,15942.56,612723.56
BUD-P025-04,P025,Equipment,110515,1771.4,112286.4
BUD-P025-05,P025,Permits & Fees,66309,1180.93,67489.93
BUD-P025-06,P025,General Conditions,154721,2952.33,157673.33
BUD-P025-07,P025,Other,66309,1180.92,67489.92
BUD-P026-01,P026,Labor,748774,46096.57,794870.57
BUD-P026-02,P026,Materials,835171,50865.18,886036.18
BUD-P026-03,P026,Subcontractors,777573,42917.49,820490.49
BUD-P026-04,P026,Equipment,143995,4768.61,148763.61
BUD-P026-05,P026,Permits & Fees,86397,3179.07,89576.07
BUD-P026-06,P026,General Conditions,201593,7947.68,209540.68
BUD-P026-07,P026,Other,86397,3179.08,89576.08
BUD-P027-01,P027,Labor,429525,13883.07,443408.07
BUD-P027-02,P027,Materials,412344,15319.25,427663.25
BUD-P027-03,P027,Subcontractors,532611,12925.62,545536.62
BUD-P027-04,P027,Equipment,85905,1436.18,87341.18
BUD-P027-05,P027,Permits & Fees,68724,957.45,69681.45
BUD-P027-06,P027,General Conditions,137448,2393.63,139841.63
BUD-P027-07,P027,Other,51543,957.45,52500.45
BUD-P028-01,P028,Labor,60372,3620.85,63992.85
BUD-P028-02,P028,Materials,55900,3995.42,59895.42
BUD-P028-03,P028,Subcontractors,62608,3371.14,65979.14
BUD-P028-04,P028,Equipment,8944,374.57,9318.57
BUD-P028-05,P028,Permits & Fees,8944,249.71,9193.71
BUD-P028-06,P028,General Conditions,20124,624.28,20748.28
BUD-P028-07,P028,Other,6708,249.72,6957.72
BUD-P029-01,P029,Labor,195118,-11460.26,183657.74
BUD-P029-02,P029,Materials,248332,-12645.8,235686.2
BUD-P029-03,P029,Subcontractors,274939,-10669.9,264269.1
BUD-P029-04,P029,Equipment,35476,-1185.54,34290.46
BUD-P029-05,P029,Permits & Fees,53214,-790.36,52423.64
BUD-P029-06,P029,General Conditions,62083,-1975.91,60107.09
BUD-P029-07,P029,Other,17738,-790.36,16947.64
BUD-P030-01,P030,Labor,466240,94975.4,561215.4
BUD-P030-02,P030,Materials,481280,104800.44,586080.44
BUD-P030-03,P030,Subcontractors,300800,88425.37,389225.37
BUD-P030-04,P030,Equipment,60160,9825.04,69985.04
BUD-P030-05,P030,Permits & Fees,45120,6550.03,51670.03
BUD-P030-06,P030,General Conditions,105280,16375.07,121655.07
BUD-P030-07,P030,Other,45120,6550.02,51670.02
BUD-P031-01,P031,Labor,132750,0,132750
BUD-P031-02,P031,Materials,127440,0,127440
BUD-P031-03,P031,Subcontractors,164610,0,164610
BUD-P031-04,P031,Equipment,26550,0,26550
BUD-P031-05,P031,Permits & Fees,21240,0,21240
BUD-P031-06,P031,General Conditions,42480,0,42480
BUD-P031-07,P031,Other,15930,0,15930
BUD-P032-01,P032,Labor,429875,37581.09,467456.09
BUD-P032-02,P032,Materials,412680,41468.79,454148.79
BUD-P032-03,P032,Subcontractors,533045,34989.29,568034.29
BUD-P032-04,P032,Equipment,85975,3887.7,89862.7
BUD-P032-05,P032,Permits & Fees,68780,2591.8,71371.8
BUD-P032-06,P032,General Conditions,137560,6479.5,144039.5
BUD-P032-07,P032,Other,51585,2591.8,54176.8
BUD-P033-01,P033,Labor,229635,0,229635
BUD-P033-02,P033,Materials,212625,0,212625
BUD-P033-03,P033,Subcontractors,238140,0,238140
BUD-P033-04,P033,Equipment,34020,0,34020
BUD-P033-05,P033,Permits & Fees,34020,0,34020
BUD-P033-06,P033,General Conditions,76545,0,76545
BUD-P033-07,P033,Other,25515,0,25515
BUD-P034-01,P034,Labor,134350,0,134350
BUD-P034-02,P034,Materials,128976,0,128976
BUD-P034-03,P034,Subcontractors,166594,0,166594
BUD-P034-04,P034,Equipment,26870,0,26870
BUD-P034-05,P034,Permits & Fees,21496,0,21496
BUD-P034-06,P034,General Conditions,42992,0,42992
BUD-P034-07,P034,Other,16122,0,16122
BUD-P035-01,P035,Labor,260475,0,260475
BUD-P035-02,P035,Materials,250056,0,250056
BUD-P035-03,P035,Subcontractors,322989,0,322989
BUD-P035-04,P035,Equipment,52095,0,52095
BUD-P035-05,P035,Permits & Fees,41676,0,41676
BUD-P035-06,P035,General Conditions,83352,0,83352
BUD-P035-07,P035,Other,31257,0,31257
BUD-P036-01,P036,Labor,531950,0,531950
BUD-P036-02,P036,Materials,510672,0,510672
BUD-P036-03,P036,Subcontractors,659618,0,659618
BUD-P036-04,P036,Equipment,106390,0,106390
BUD-P036-05,P036,Permits & Fees,85112,0,85112
BUD-P036-06,P036,General Conditions,170224,0,170224
BUD-P036-07,P036,Other,63834,0,63834
BUD-P037-01,P037,Labor,245475,3690.64,249165.64
BUD-P037-02,P037,Materials,235656,4072.43,239728.43
BUD-P037-03,P037,Subcontractors,304389,3436.11,307825.11
BUD-P037-04,P037,Equipment,49095,381.79,49476.79
BUD-P037-05,P037,Permits & Fees,39276,254.53,39530.53
BUD-P037-06,P037,General Conditions,78552,636.32,79188.32
BUD-P037-07,P037,Other,29457,254.51,29711.51
BUD-P038-01,P038,Labor,169614,4190.56,173804.56
BUD-P038-02,P038,Materials,157050,4624.07,161674.07
BUD-P038-03,P038,Subcontractors,175896,3901.56,179797.56
BUD-P038-04,P038,Equipment,25128,433.51,25561.51
BUD-P038-05,P038,Permits & Fees,25128,289,25417
BUD-P038-06,P038,General Conditions,56538,722.51,57260.51
BUD-P038-07,P038,Other,18846,289.01,19135.01
BUD-P039-01,P039,Labor,156843,0,156843
BUD-P039-02,P039,Materials,145225,0,145225
BUD-P039-03,P039,Subcontractors,162652,0,162652
BUD-P039-04,P039,Equipment,23236,0,23236
BUD-P039-05,P039,Permits & Fees,23236,0,23236
BUD-P039-06,P039,General Conditions,52281,0,52281
BUD-P039-07,P039,Other,17427,0,17427
BUD-P040-01,P040,Labor,321811,7736.55,329547.55
BUD-P040-02,P040,Materials,332192,8536.89,340728.89
BUD-P040-03,P040,Subcontractors,207620,7203,214823
BUD-P040-04,P040,Equipment,41524,800.33,42324.33
BUD-P040-05,P040,Permits & Fees,31143,533.56,31676.56
BUD-P040-06,P040,General Conditions,72667,1333.89,74000.89
BUD-P040-07,P040,Other,31143,533.55,31676.55
BUD-P041-01,P041,Labor,318912,14161.87,333073.87
BUD-P041-02,P041,Materials,405888,15626.89,421514.89
BUD-P041-03,P041,Subcontractors,449376,13185.19,462561.19
BUD-P041-04,P041,Equipment,57984,1465.02,59449.02
BUD-P041-05,P041,Permits & Fees,86976,976.68,87952.68
BUD-P041-06,P041,General Conditions,101472,2441.7,103913.7
BUD-P041-07,P041,Other,28992,976.68,29968.68
BUD-P042-01,P042,Labor,503475,18627.34,522102.34
BUD-P042-02,P042,Materials,483336,20554.31,503890.31
BUD-P042-03,P042,Subcontractors,624309,17342.7,641651.7
BUD-P042-04,P042,Equipment,100695,1926.97,102621.97
BUD-P042-05,P042,Permits & Fees,80556,1284.64,81840.64
BUD-P042-06,P042,General Conditions,161112,3211.61,164323.61
BUD-P042-07,P042,Other,60417,1284.64,61701.64
BUD-P043-01,P043,Labor,227825,5117.18,232942.18
BUD-P043-02,P043,Materials,218712,5646.55,224358.55
BUD-P043-03,P043,Subcontractors,282503,4764.27,287267.27
BUD-P043-04,P043,Equipment,45565,529.36,46094.36
BUD-P043-05,P043,Permits & Fees,36452,352.91,36804.91
BUD-P043-06,P043,General Conditions,72904,882.27,73786.27
BUD-P043-07,P043,Other,27339,352.92,27691.92
BUD-P044-01,P044,Labor,124308,0,124308
BUD-P044-02,P044,Materials,115100,0,115100
BUD-P044-03,P044,Sub-Contractors,128912,0,128912
BUD-P044-04,P044,Equipment,18416,0,18416
BUD-P044-05,P044,Permits & Fees,18416,0,18416
BUD-P044-06,P044,General Conditions,41436,0,41436
BUD-P044-07,P044,Other,13812,0,13812
BUD-P045-01,P045,Labor,317520,0,317520
BUD-P045-02,P045,Materials,294000,0,294000
BUD-P045-03,P045,Subcontractors,329280,0,329280
BUD-P045-04,P045,Equipment,47040,0,47040
BUD-P045-05,P045,Permits & Fees,47040,0,47040
BUD-P045-06,P045,General Conditions,105840,0,105840
BUD-P045-07,P045,Other,35280,0,35280
BUD-P046-01,P046,Labor,227300,34215.28,261515.28
BUD-P046-02,P046,Materials,218208,37754.8,255962.8
BUD-P046-03,P046,Subcontractors,281852,31855.61,313707.61
BUD-P046-04,P046,Equipment,45460,3539.51,48999.51
BUD-P046-05,P046,Permits & Fees,36368,2359.67,38727.67
BUD-P046-06,P046,General Conditions,72736,5899.19,78635.19
BUD-P046-07,P046,Other,27276,2359.68,29635.68
BUD-P047-01,P047,Labor,497508,0,497508
BUD-P047-02,P047,Materials,633192,0,633192
BUD-P047-03,P047,Subcontractors,701034,0,701034
BUD-P047-04,P047,Equipment,90456,0,90456
BUD-P047-05,P047,Permits & Fees,135684,0,135684
BUD-P047-06,P047,General Conditions,158298,0,158298
BUD-P047-07,P047,Other,45228,0,45228
BUD-P048-01,P048,Labor,133326,8632.7,141958.7
BUD-P048-02,P048,Materials,123450,9525.74,132975.74
BUD-P048-03,P048,Subcontractors,138264,8037.34,146301.34
BUD-P048-04,P048,Equipment,19752,893.04,20645.04
BUD-P048-05,P048,Permits & Fees,19752,595.36,20347.36
BUD-P048-06,P048,General Conditions,44442,1488.4,45930.4
BUD-P048-07,P048,Other,14814,595.36,15409.36
BUD-P049-01,P049,Labor,268600,-10220.44,258379.56
BUD-P049-02,P049,Materials,257856,-11277.73,246578.27
BUD-P049-03,P049,Subcontractors,333064,-9515.58,323548.42
BUD-P049-04,P049,Equipment,53720,-1057.29,52662.71
BUD-P049-05,P049,Permits & Fees,42976,-704.86,42271.14
BUD-P049-06,P049,General Conditions,85952,-1762.15,84189.85
BUD-P049-07,P049,Other,32232,-704.85,31527.15
BUD-P050-01,P050,Labor,288198,3292.92,291490.92
BUD-P050-02,P050,Materials,266850,3633.57,270483.57
BUD-P050-03,P050,Subcontractors,298872,3065.83,301937.83
BUD-P050-04,P050,Equipment,42696,340.65,43036.65
BUD-P050-05,P050,Permits & Fees,42696,227.1,42923.1
BUD-P050-06,P050,General Conditions,96066,567.75,96633.75
BUD-P050-07,P050,Other,32022,227.09,32249.09
BUD-P051-01,P051,Labor,115614,0,115614
BUD-P051-02,P051,Materials,107050,0,107050
BUD-P051-03,P051,Subcontractors,119896,0,119896
BUD-P051-04,P051,Equipment,17128,0,17128
BUD-P051-05,P051,Permits & Fees,17128,0,17128
BUD-P051-06,P051,General Conditions,38538,0,38538
BUD-P051-07,P051,Other,12846,0,12846
BUD-P052-01,P052,Labor,480562,28379.41,508941.41
BUD-P052-02,P052,Materials,496064,31315.21,527379.21
BUD-P052-03,P052,Subcontractors,310040,26422.21,336462.21
BUD-P052-04,P052,Equipment,62008,2935.8,64943.8
BUD-P052-05,P052,Permits & Fees,46506,1957.2,48463.2
BUD-P052-06,P052,General Conditions,108514,4893,113407
BUD-P052-07,P052,Other,46506,1957.19,48463.19
BUD-P053-01,P053,Labor,393775,-13780,379995
BUD-P053-02,P053,Materials,378024,-15205.52,362818.48
BUD-P053-03,P053,Subcontractors,488281,-12829.65,475451.35
BUD-P053-04,P053,Equipment,78755,-1425.52,77329.48
BUD-P053-05,P053,Permits & Fees,63004,-950.34,62053.66
BUD-P053-06,P053,General Conditions,126008,-2375.86,123632.14
BUD-P053-07,P053,Other,47253,-950.35,46302.65
BUD-P054-01,P054,Labor,127038,2253.68,129291.68
BUD-P054-02,P054,Materials,131136,2486.82,133622.82
BUD-P054-03,P054,Subcontractors,81960,2098.25,84058.25
BUD-P054-04,P054,Equipment,16392,233.14,16625.14
BUD-P054-05,P054,Permits & Fees,12294,155.43,12449.43
BUD-P054-06,P054,General Conditions,28686,388.57,29074.57
BUD-P054-07,P054,Other,12294,155.41,12449.41
BUD-P055-01,P055,Labor,318575,0,318575
BUD-P055-02,P055,Materials,305832,0,305832
BUD-P055-03,P055,Subcontractors,395033,0,395033
BUD-P055-04,P055,Equipment,63715,0,63715
BUD-P055-05,P055,Permits & Fees,50972,0,50972
BUD-P055-06,P055,General Conditions,101944,0,101944
BUD-P055-07,P055,Other,38229,0,38229
BUD-P056-01,P056,Labor,93771,3396.27,97167.27
BUD-P056-02,P056,Materials,86825,3747.6,90572.6
BUD-P056-03,P056,Subcontractors,97244,3162.04,100406.04
BUD-P056-04,P056,Equipment,13892,351.34,14243.34
BUD-P056-05,P056,Permits & Fees,13892,234.23,14126.23
BUD-P056-06,P056,General Conditions,31257,585.56,31842.56
BUD-P056-07,P056,Other,10419,234.22,10653.22
BUD-P057-01,P057,Labor,213786,0,213786
BUD-P057-02,P057,Materials,197950,0,197950
BUD-P057-03,P057,Subcontractors,221704,0,221704
BUD-P057-04,P057,Equipment,,0,31672
BUD-P057-05,P057,Permits & Fees,31672,0,31672
BUD-P057-06,P057,General Conditions,71262,0,71262
BUD-P057-07,P057,Other,23754,0,23754
BUD-P058-01,P058,Labor,106947,0,106947
BUD-P058-02,P058,Materials,99025,0,99025
BUD-P058-03,P058,Subcontractors,110908,0,110908
BUD-P058-04,P058,Equipment,15844,0,15844
BUD-P058-05,P058,Permits & Fees,15844,0,15844
BUD-P058-06,P058,General Conditions,35649,0,35649
BUD-P058-07,P058,Other,11883,0,11883
BUD-P059-01,P059,Labor,140535,0,140535
BUD-P059-02,P059,Materials,130125,0,130125
BUD-P059-03,P059,Subcontractors,145740,0,145740
BUD-P059-04,P059,Equipment,20820,0,20820
BUD-P059-05,P059,Permits & Fees,20820,0,20820
BUD-P059-06,P059,General Conditions,46845,0,46845
BUD-P059-07,P059,Other,15615,0,15615
BUD-P060-01,P060,Labor,350870,13905.04,364775.04
BUD-P060-02,P060,Materials,391355,15343.5,406698.5
BUD-P060-03,P060,Subcontractors,364365,12946.08,377311.08
BUD-P060-04,P060,Equipment,67475,1438.45,68913.45
BUD-P060-05,P060,Permits & Fees,40485,958.97,41443.97
BUD-P060-06,P060,General Conditions,94465,2397.42,96862.42
BUD-P060-07,P060,Other,40485,958.97,41443.97
BUD-P061-01,P061,Labor,530596,-14870.64,515725.36
BUD-P061-02,P061,Materials,675304,-16408.99,658895.01
BUD-P061-03,P061,Subcontractors,747658,-13845.08,733812.92
BUD-P061-04,P061,Equipment,96472,-1538.34,94933.66
BUD-P061-05,P061,Permits & Fees,144708,-1025.56,143682.44
BUD-P061-06,P061,General Conditions,168826,-2563.9,166262.1
BUD-P061-07,P061,Other,48236,-1025.57,47210.43
BUD-P062-01,P062,Labor,487828,78804.78,566632.78
BUD-P062-02,P062,Materials,620872,86957,707829
BUD-P062-03,P062,Subcontractors,687394,73369.97,760763.97
BUD-P062-04,P062,Equipment,88696,8152.22,96848.22
BUD-P062-05,P062,Permits & Fees,133044,5434.81,138478.81
BUD-P062-06,P062,General Conditions,155218,13587.03,168805.03
BUD-P062-07,P062,Other,44348,5434.81,49782.81
BUD-P063-01,P063,Labor,288738,3158.73,291896.73
BUD-P063-02,P063,Materials,267350,"$3,485.49",270835.49
BUD-P063-03,P063,Subcontractors,299432,2940.88,302372.88
BUD-P063-04,P063,Equipment,42776,326.76,43102.76
BUD-P063-05,P063,Permits & Fees,42776,217.84,42993.84
BUD-P063-06,P063,General Conditions,96246,544.61,96790.61
BUD-P063-07,P063,Other,32082,217.85,32299.85
BUD-P064-01,P064,Labor,332100,9851.76,341951.76
BUD-P064-02,P064,Materials,318816,10870.91,329686.91
BUD-P064-03,P064,Subcontractors,411804,9172.33,420976.33
BUD-P064-04,P064,Equipment,66420,1019.15,67439.15
BUD-P064-05,P064,Permits & Fees,53136,679.43,53815.43
BUD-P064-06,P064,General Conditions,106272,1698.58,107970.58
BUD-P064-07,P064,Other,39852,679.42,40531.42
BUD-P065-01,P065,Labor,169650,0,169650
BUD-P065-02,P065,Materials,162864,0,162864
BUD-P065-03,P065,Subcontractors,210366,0,210366
BUD-P065-04,P065,Equipment,33930,0,33930
BUD-P065-05,P065,Permits & Fees,27144,0,27144
BUD-P065-06,P065,General Conditions,54288,0,54288
BUD-P065-07,P065,Other,20358,0,20358
BUD-P066-01,P066,Labor,157329,3891.41,161220.41
BUD-P066-02,P066,Materials,145675,4293.96,149968.96
BUD-P066-03,P066,Subcontractors,163156,3623.03,166779.03
BUD-P066-04,P066,Equipment,23308,402.56,23710.56
BUD-P066-05,P066,Permits & Fees,23308,268.37,23576.37
BUD-P066-06,P066,General Conditions,52443,670.93,53113.93
BUD-P066-07,P066,Other,17481,268.38,17749.38
BUD-P067-01,P067,Labor,143900,5238.24,149138.24
BUD-P067-02,P067,Materials,138144,5780.13,143924.13
BUD-P067-03,P067,Subcontractors,178436,4876.98,183312.98
BUD-P067-04,P067,Equipment,28780,541.89,29321.89
BUD-P067-05,P067,Permits & Fees,23024,361.26,23385.26
BUD-P067-06,P067,General Conditions,46048,903.15,46951.15
BUD-P067-07,P067,Other,17268,361.25,17629.25
BUD-P068-01,P068,Labor,250697,16149.86,266846.86
BUD-P068-02,P068,Materials,258784,17820.53,276604.53
BUD-P068-03,P068,Subcontractors,161740,15036.08,176776.08
BUD-P068-04,P068,Equipment,32348,1670.68,34018.68
BUD-P068-05,P068,Permits & Fees,24261,1113.78,25374.78
BUD-P068-06,P068,General Conditions,56609,2784.46,59393.46
BUD-P068-07,P068,Other,24261,1113.78,25374.78
BUD-P069-01,P069,Labor,177850,-8812.86,169037.14
BUD-P069-02,P069,Materials,170736,-9724.54,161011.46
BUD-P069-03,P069,Subcontractors,220534,-8205.08,212328.92
BUD-P069-04,P069,Equipment,35570,-911.68,34658.32
BUD-P069-05,P069,Permits & Fees,28456,-607.78,27848.22
BUD-P069-06,P069,General Conditions,56912,-1519.46,55392.54
BUD-P069-07,P069,Other,21342,-607.78,20734.22
BUD-P070-01,P070,Labor,265100,11882.83,276982.83
BUD-P070-02,P070,Materials,337400,13112.09,350512.09
BUD-P070-03,P070,Subcontractors,373550,11063.33,384613.33
BUD-P070-04,P070,Equipment,48200,1229.26,49429.26
BUD-P070-05,P070,Permits & Fees,72300,819.51,73119.51
BUD-P070-06,P070,General Conditions,84350,2048.76,86398.76
