project_id,project_name,cost_category,revised_budget,original_budget_missing_flag,orphan_project_flag,pending_exposure,incurred_cost,budget_remaining,no_matching_transactions_flag
P092,Copper Retail 92,Materials,196960.79,false,false,0.00,188123.41,8837.38,false
P093,Granite Office 93,Other,73737.00,false,false,4116.23,50264.82,23472.18,false
P007,Wasatch Renovation 07,Materials,612380.57,false,false,0.00,732358.26,-119977.69,false
P011,Granite Residences 11,Equipment,41500.00,false,false,9957.66,32698.70,8801.30,false
P011,Granite Residences 11,General Conditions,66400.00,false,false,1437.50,63584.13,2815.87,false
P015,Juniper Residences 15,Subcontractors,299367.89,false,false,79704.66,237134.51,62233.38,false
P020,Wasatch Commons 20,Subcontractors,157299.26,false,false,0.00,161604.05,-4304.79,false
P031,Summit Lodge 31,Permits & Fees,21240.00,false,false,1602.22,20659.71,580.29,false
P033,Bonneville Retail 33,Permits & Fees,34020.00,false,false,6399.40,28165.63,5854.37,false
P044,Copper Medical 44,Permits & Fees,18416.00,false,false,3936.06,14495.13,3920.87,false
P067,Copper Office 67,Materials,143924.13,false,false,32167.44,114352.02,29572.11,false
P094,Copper Commons 94,Other,37778.63,false,false,402.32,15459.27,22319.36,false
P016,Wasatch Lodge 16,Permits & Fees,18009.53,false,false,0.00,18290.24,-280.71,false
P052,Summit Medical 52,Equipment,64943.80,false,false,1868.85,61603.90,3339.90,false
P052,Summit Medical 52,General Conditions,113407.00,false,false,6777.70,109320.64,4086.36,false
P049,Wasatch Commons 49,Permits & Fees,42271.14,false,false,0.00,46231.09,-3959.95,false
P007,Wasatch Renovation 07,Equipment,85110.05,false,false,11280.37,74766.89,10343.16,false
P007,Wasatch Renovation 07,General Conditions,148565.09,false,false,0.00,176846.02,-28280.93,false
P011,Granite Residences 11,Materials,199200.00,false,false,4393.52,214037.74,-14837.74,false
P036,Bonneville Commons 36,Subcontractors,659618.00,false,false,0.00,672597.61,-12979.61,false
P043,Granite Medical 43,Other,27691.92,false,false,3518.25,26338.37,1353.55,false
P051,Aspen Retail 51,Other,12846.00,false,false,1758.42,10991.65,1854.35,false
P052,Summit Medical 52,Materials,527379.21,false,false,0.00,543440.85,-16061.64,false
P053,Wasatch Center 53,Subcontractors,475451.35,false,false,82976.28,395221.45,80229.90,false
P056,Wasatch Office 56,Other,10653.22,false,false,0.00,9799.97,853.25,false
P057,Juniper Commons 57,Equipment,31672.00,true,false,3953.42,27412.31,4259.69,false
P057,Juniper Commons 57,General Conditions,71262.00,false,false,14933.34,60207.48,11054.52,false
P060,Canyon Retail 60,Other,41443.97,false,false,2949.24,36525.39,4918.58,false
P064,Juniper Commons 64,Subcontractors,420976.33,false,false,34568.67,388991.64,31984.69,false
P067,Copper Office 67,Equipment,29321.89,false,false,6012.69,23791.03,5530.86,false
P068,Aspen Lodge 68,Permits & Fees,25374.78,false,false,0.00,25783.64,-408.86,false
P069,Bonneville Retail 69,Other,20734.22,false,false,1917.09,20794.19,-59.97,false
P072,Aspen Office 72,Equipment,40300.93,false,false,8784.44,32620.67,7680.26,false
P072,Aspen Office 72,General Conditions,70173.88,false,false,20316.40,60422.85,9751.03,false
P073,Canyon Commons 73,Equipment,94315.00,false,false,3419.56,102875.54,-8560.54,false
P073,Canyon Commons 73,General Conditions,132041.00,false,false,12916.81,134119.73,-2078.73,false
P076,Granite Center 76,Subcontractors,338104.94,false,false,38915.35,249809.78,88295.16,false
P079,Canyon Center 79,Permits & Fees,51072.00,false,false,9321.07,35350.49,15721.51,false
P090,Canyon Office 90,Permits & Fees,27623.15,false,false,0.00,24765.73,2857.42,false
P092,Copper Retail 92,Equipment,40495.32,false,false,4050.71,35756.93,4738.39,false
P092,Copper Retail 92,General Conditions,64821.87,false,false,0.00,64622.54,199.33,false
P004,Juniper Medical 04,Materials,235801.39,false,false,7550.08,224161.34,11640.05,false
P013,Aspen Renovation 13,Materials,620872.00,false,false,135931.90,598047.73,22824.27,false
P024,Aspen Retail 24,Materials,302601.79,false,false,98092.18,219863.72,82738.07,false
P028,Copper Office 28,Other,6957.72,false,false,0.00,6354.38,603.34,false
P045,Bonneville Office 45,Materials,294000.00,false,false,6654.55,283651.95,10348.05,false
P086,Copper Center 86,Permits & Fees,16076.00,false,false,958.99,8825.40,7250.60,false
P088,Copper Center 88,Permits & Fees,28055.89,false,false,3528.69,18916.30,9139.59,false
P005,Summit Residences 05,Permits & Fees,141342.68,false,false,11073.09,139328.23,2014.45,false
P061,Summit Center 61,Permits & Fees,143682.44,false,false,36895.91,128812.06,14870.38,false
P067,Copper Office 67,General Conditions,46951.15,false,false,2241.84,45348.15,1603.00,false
P016,Wasatch Lodge 16,Other,13586.52,false,false,2219.55,12869.90,716.62,false
P021,Copper Center 21,Materials,663513.56,false,false,189201.43,564301.71,99211.85,false
P026,Granite Commons 26,Other,89576.08,false,false,0.00,85307.05,4269.03,false
P029,Copper Center 29,Other,16947.64,false,false,1730.50,14513.98,2433.66,false
P033,Bonneville Retail 33,Other,25515.00,false,false,1858.78,25420.05,94.95,false
P036,Bonneville Commons 36,Equipment,106390.00,false,false,9462.23,94887.39,11502.61,false
P036,Bonneville Commons 36,General Conditions,170224.00,false,false,23835.55,146184.36,24039.64,false
P041,Canyon Office 41,Other,29968.68,false,false,8238.28,18296.24,11672.44,false
P049,Wasatch Commons 49,Other,31527.15,false,false,0.00,31545.75,-18.60,false
P053,Wasatch Center 53,Equipment,77329.48,false,false,12339.49,64897.56,12431.92,false
P053,Wasatch Center 53,General Conditions,123632.14,false,false,15100.43,110402.66,13229.48,false
P062,Granite Residences 62,Materials,707829.00,false,false,33385.15,785779.44,-77950.44,false
P064,Juniper Commons 64,Equipment,67439.15,false,false,5417.00,61789.87,5649.28,false
P067,Copper Office 67,Subcontractors,183312.98,false,false,35940.22,147539.47,35773.51,false
P072,Aspen Office 72,Subcontractors,317623.34,false,false,20249.37,337621.22,-19997.88,false
P073,Canyon Commons 73,Subcontractors,509301.00,false,false,0.00,544952.73,-35651.73,false
P076,Granite Center 76,Equipment,53821.22,false,false,8452.38,40802.30,13018.92,false
P076,Granite Center 76,General Conditions,86219.03,false,false,2176.47,74979.83,11239.20,false
P092,Copper Retail 92,Subcontractors,252303.91,false,false,4169.03,236518.91,15785.00,false
P093,Granite Office 93,Permits & Fees,73737.00,false,false,0.00,51547.42,22189.58,false
P094,Copper Commons 94,Permits & Fees,108258.62,false,false,4949.72,49809.26,58449.36,false
P015,Juniper Residences 15,Materials,271423.91,false,false,60855.10,227449.49,43974.42,false
P035,Aspen Office 35,Materials,250056.00,false,false,41671.57,226838.29,23217.71,false
P042,Juniper Residences 42,Permits & Fees,81840.64,false,false,0.00,85389.36,-3548.72,false
P044,Copper Medical 44,Other,13812.00,false,false,0.00,14288.50,-476.50,false
P064,Juniper Commons 64,General Conditions,107970.58,false,false,23156.09,83612.04,24358.54,false
P065,Aspen Lodge 65,Permits & Fees,27144.00,false,false,3696.49,24937.15,2206.85,false
P007,Wasatch Renovation 07,Subcontractors,665265.48,false,false,40240.40,688745.63,-23480.15,false
P055,Canyon Lodge 55,Permits & Fees,50972.00,false,false,3990.12,51021.49,-49.49,false
P020,Wasatch Commons 20,Materials,242420.46,false,false,36711.33,210077.99,32342.47,false
P031,Summit Lodge 31,Other,15930.00,false,false,0.00,15883.45,46.55,false
P057,Juniper Commons 57,Subcontractors,221704.00,false,false,0.00,225221.85,-3517.85,false
P001,Juniper Retail 01,Materials,369577.78,false,false,13385.62,375450.91,-5873.13,false
P002,Wasatch Renovation 02,Subcontractors,185808.00,false,false,14006.84,173772.01,12035.99,false
P006,Granite Commons 06,Equipment,64285.00,false,false,1526.27,64269.93,15.07,false
P006,Granite Commons 06,General Conditions,102856.00,false,false,13667.77,90618.77,12237.23,false
P008,Bonneville Renovation 08,Other,46380.00,false,false,2062.96,43399.62,2980.38,false
P010,Juniper Office 10,Other,17149.81,false,false,2158.18,13136.50,4013.31,false
P018,Wasatch Renovation 18,Equipment,60565.00,false,false,2630.75,64006.58,-3441.58,false
P023,Summit Office 23,Subcontractors,689229.00,false,false,0.00,764221.38,-74992.38,false
P025,Aspen Medical 25,Materials,659881.88,false,false,54861.88,659111.01,770.87,false
P034,Bonneville Office 34,Equipment,26870.00,false,false,3700.33,25596.97,1273.03,false
P034,Bonneville Office 34,General Conditions,42992.00,false,false,6100.22,41622.80,1369.20,false
P047,Granite Lodge 47,Permits & Fees,135684.00,false,false,17458.84,128992.74,6691.26,false
P048,Bonneville Office 48,Other,15409.36,false,false,2622.82,13797.72,1611.64,false
P058,Bonneville Medical 58,Other,11883.00,false,false,533.66,10108.86,1774.14,false
P059,Aspen Residences 59,Materials,130125.00,false,false,15755.72,128748.02,1376.98,false
P063,Summit Office 63,Materials,270835.49,false,false,34567.98,265370.95,5464.54,false
P066,Canyon Medical 66,Permits & Fees,23576.37,false,false,1477.41,21058.65,2517.72,false
P074,Copper Center 74,Other,38985.00,false,false,0.00,35210.96,3774.04,false
P075,Granite Lodge 75,Permits & Fees,62598.00,false,false,3690.13,58068.94,4529.06,false
P081,Canyon Center 81,Other,22695.00,false,false,1214.16,14234.40,8460.60,false
P082,Wasatch Retail 82,Permits & Fees,45740.58,false,false,9848.14,34899.51,10841.07,false
P084,Bonneville Renovation 84,Subcontractors,247725.00,false,false,0.00,222897.84,24827.16,false
P089,Aspen Center 89,Other,29361.00,false,false,261.74,3899.47,25461.53,false
P091,Granite Medical 91,Permits & Fees,71916.17,false,false,8250.99,55479.07,16437.10,false
P095,Summit Lodge 95,Equipment,21200.00,false,false,871.80,16793.10,4406.90,false
P009,Wasatch Retail 09,Subcontractors,155008.00,false,false,13436.01,150642.93,4365.07,false
P019,Wasatch Center 19,Materials,135661.01,false,false,11762.77,138147.34,-2486.33,false
P032,Granite Residences 32,Other,54176.80,false,false,0.00,63416.31,-9239.51,false
P038,Canyon Renovation 38,Materials,161674.07,false,false,15371.62,156996.40,4677.67,false
P040,Summit Commons 40,Other,31676.55,false,false,0.00,29833.95,1842.60,false
P078,Aspen Residences 78,Other,37096.00,false,false,1143.46,28883.22,8212.78,false
P083,Wasatch Renovation 83,Permits & Fees,44600.00,false,false,5262.80,38177.81,6422.19,false
P095,Summit Lodge 95,General Conditions,47700.00,false,false,2734.79,34800.16,12899.84,false
P096,Granite Center 96,Permits & Fees,132426.00,false,false,3088.15,43262.31,89163.69,false
P018,Wasatch Renovation 18,General Conditions,84791.00,false,false,7663.28,90736.80,-5945.80,false
P022,Juniper Medical 22,Other,88963.46,false,false,5005.25,76164.45,12799.01,false
P002,Wasatch Renovation 02,Other,19908.00,false,false,1750.12,19877.08,30.92,false
P008,Bonneville Renovation 08,Subcontractors,718890.00,false,false,45225.05,694202.76,24687.24,false
P009,Wasatch Retail 09,Other,16608.00,false,false,2956.33,15429.07,1178.93,false
P012,Canyon Retail 12,Equipment,44369.93,false,false,5947.43,38229.70,6140.23,false
P019,Wasatch Center 19,Permits & Fees,12426.81,false,false,504.62,11782.88,643.93,false
P022,Juniper Medical 22,Subcontractors,807211.62,false,false,136169.43,666404.43,140807.19,false
P023,Summit Office 23,Other,76581.00,false,false,9534.95,74516.80,2064.20,false
P030,Granite Center 30,Equipment,69985.04,false,false,5717.56,66615.91,3369.13,false
P030,Granite Center 30,General Conditions,121655.07,false,false,26867.59,109025.89,12629.18,false
P032,Granite Residences 32,Subcontractors,568034.29,false,false,19529.38,621795.15,-53760.86,false
P038,Canyon Renovation 38,Permits & Fees,25417.00,false,false,727.03,24768.84,648.16,false
P039,Granite Commons 39,Equipment,23236.00,false,false,1024.72,23824.24,-588.24,false
P039,Granite Commons 39,General Conditions,52281.00,false,false,0.00,56328.54,-4047.54,false
P040,Summit Commons 40,Subcontractors,214823.00,false,false,5121.84,207462.63,7360.37,false
P047,Granite Lodge 47,Materials,633192.00,false,false,61713.22,612021.28,21170.72,false
P048,Bonneville Office 48,Subcontractors,146301.34,false,false,2896.64,146220.88,80.46,false
P063,Summit Office 63,Permits & Fees,42993.84,false,false,1346.79,45650.30,-2656.46,false
P066,Canyon Medical 66,Materials,149968.96,false,false,17905.89,127888.76,22080.20,false
P075,Granite Lodge 75,Materials,605114.00,false,false,20443.87,591039.99,14074.01,false
P077,Canyon Residences 77,Equipment,45200.38,false,false,5550.30,32122.24,13078.14,false
P077,Canyon Residences 77,General Conditions,72285.29,false,false,1530.01,64309.47,7975.82,false
P081,Canyon Center 81,Subcontractors,234515.00,false,false,23520.02,147878.89,86636.11,false
P082,Wasatch Retail 82,Materials,494489.32,false,false,34433.80,474872.80,19616.52,false
P083,Wasatch Renovation 83,Materials,267600.00,false,false,0.00,287455.30,-19855.30,false
P084,Bonneville Renovation 84,Other,27525.00,false,false,4412.94,18745.92,8779.08,false
P087,Copper Office 87,Equipment,116598.88,false,false,6801.87,48226.48,68372.40,false
P087,Copper Office 87,General Conditions,163426.13,false,false,4505.74,74254.66,89171.47,false
P089,Aspen Center 89,Subcontractors,264249.00,false,false,1294.51,33539.79,230709.21,false
P096,Granite Center 96,Materials,617988.00,false,false,31195.44,183989.38,433998.62,false
P001,Juniper Retail 01,Permits & Fees,34467.61,false,false,1969.33,33646.88,820.73,false
P010,Juniper Office 10,Subcontractors,180279.40,false,false,12179.16,163201.12,17078.28,false
P012,Canyon Retail 12,General Conditions,77359.22,false,false,15534.20,63104.04,14255.18,false
P025,Aspen Medical 25,Permits & Fees,67489.93,false,false,6809.44,59907.19,7582.74,false
P059,Aspen Residences 59,Permits & Fees,20820.00,false,false,0.00,21391.36,-571.36,false
P058,Bonneville Medical 58,Subcontractors,110908.00,false,false,5461.75,108000.17,2907.83,false
P074,Copper Center 74,Subcontractors,402845.00,false,false,26573.99,392363.42,10481.58,false
P078,Aspen Residences 78,Subcontractors,336149.85,false,false,0.00,298652.22,37497.63,false
P091,Granite Medical 91,Materials,452458.67,false,false,33821.27,370192.39,82266.28,false
P001,Juniper Retail 01,Other,34467.61,false,false,1459.65,32763.71,1703.90,false
P009,Wasatch Retail 09,Permits & Fees,22144.00,false,false,3131.42,21171.92,972.08,false
P010,Juniper Office 10,Materials,144940.92,false,false,0.00,137585.37,7355.55,false
P014,Bonneville Lodge 14,Equipment,97528.00,false,false,12818.05,88409.87,9118.13,false
P014,Bonneville Lodge 14,General Conditions,170674.00,false,false,7985.92,169922.71,751.29,false
P017,Summit Retail 17,Equipment,49801.79,false,false,4810.35,47295.31,2506.48,false
P017,Summit Retail 17,General Conditions,86995.66,false,false,23406.52,73574.20,13421.46,false
P019,Wasatch Center 19,Other,12426.81,false,false,1782.95,11606.08,820.73,false
P022,Juniper Medical 22,Materials,869185.26,false,false,110677.39,829350.31,39834.95,false
P025,Aspen Medical 25,Other,67489.92,false,false,5498.07,65721.55,1768.37,false
P038,Canyon Renovation 38,Other,19135.01,false,false,1523.70,19742.61,-607.60,false
P046,Granite Lodge 46,General Conditions,78635.19,false,false,24310.39,64264.85,14370.34,false
P047,Granite Lodge 47,Subcontractors,701034.00,false,false,0.00,707071.92,-6037.92,false
P058,Bonneville Medical 58,Materials,99025.00,false,false,5399.31,97550.71,1474.29,false
P063,Summit Office 63,Other,32299.85,false,false,1409.78,36040.51,-3740.66,false
P066,Canyon Medical 66,Subcontractors,166779.03,false,false,10131.48,149433.24,17345.79,false
P074,Copper Center 74,Materials,311880.00,false,false,23897.91,283924.19,27955.81,false
P075,Granite Lodge 75,Subcontractors,563382.00,false,false,25478.15,518992.41,44389.59,false
P078,Aspen Residences 78,Materials,361811.82,false,false,27303.96,291476.84,70334.98,false
P081,Canyon Center 81,Materials,181560.00,false,false,8404.75,130904.53,50655.47,false
P083,Wasatch Renovation 83,Subcontractors,345650.00,false,false,0.00,351849.86,-6199.86,false
P089,Aspen Center 89,Materials,283823.00,false,false,4177.55,34870.02,248952.98,false
P091,Granite Medical 91,Subcontractors,569403.25,false,false,15508.90,510519.76,58883.49,false
P096,Granite Center 96,Subcontractors,684201.00,false,false,16292.51,194927.93,489273.07,false
P023,Summit Office 23,Permits & Fees,76581.00,false,false,2170.41,83243.09,-6662.09,false
P032,Granite Residences 32,Materials,454148.79,false,false,53256.69,486503.19,-32354.40,false
P046,Granite Lodge 46,Equipment,48999.51,false,false,5139.74,43789.27,5210.24,false
P048,Bonneville Office 48,Materials,132975.74,false,false,7807.63,142073.66,-9097.92,false
P059,Aspen Residences 59,Other,15615.00,false,false,0.00,17734.68,-2119.68,false
P082,Wasatch Retail 82,Subcontractors,313380.37,false,false,17181.53,290170.90,23209.47,false
P008,Bonneville Renovation 08,Materials,649320.00,false,false,62632.67,659200.04,-9880.04,false
P040,Summit Commons 40,Materials,340728.89,false,false,24666.05,320374.43,20354.46,false
P084,Bonneville Renovation 84,Permits & Fees,27525.00,false,false,1888.72,21769.75,5755.25,false
P002,Wasatch Renovation 02,Permits & Fees,26544.00,false,false,3009.81,24516.59,2027.41,false
P001,Juniper Retail 01,Equipment,46016.92,false,false,2081.75,42535.85,3481.07,false
P001,Juniper Retail 01,General Conditions,80484.53,false,false,6100.52,80825.35,-340.82,false
P006,Granite Commons 06,Materials,308568.00,false,false,13877.97,300759.80,7808.20,false
P012,Canyon Retail 12,Permits & Fees,63673.29,false,false,323.80,65610.81,-1937.52,false
P014,Bonneville Lodge 14,Other,48764.00,false,false,7474.08,46205.63,2558.37,false
P017,Summit Retail 17,Other,37193.87,false,false,4856.53,36027.76,1166.11,false
P019,Wasatch Center 19,Equipment,16666.22,false,false,924.39,16233.86,432.36,false
P019,Wasatch Center 19,General Conditions,29093.03,false,false,4707.92,28550.74,542.29,false
P025,Aspen Medical 25,Equipment,112286.40,false,false,18369.50,97000.67,15285.73,false
P025,Aspen Medical 25,General Conditions,157673.33,false,false,18530.65,153410.19,4263.14,false
P030,Granite Center 30,Permits & Fees,51670.03,false,false,0.00,54073.24,-2403.21,false
P039,Granite Commons 39,Permits & Fees,23236.00,false,false,2657.67,22239.78,996.22,false
P046,Granite Lodge 46,Other,29635.68,false,false,2550.76,27236.99,2398.69,false
P050,Granite Lodge 50,Subcontractors,301937.83,false,false,40609.42,281852.59,20085.24,false
P054,Granite Office 54,Subcontractors,84058.25,false,false,0.00,78497.81,5560.44,false
P059,Aspen Residences 59,Equipment,20820.00,false,false,4727.83,18345.80,2474.20,false
P059,Aspen Residences 59,General Conditions,46845.00,false,false,0.00,51375.19,-4530.19,false
P070,Granite Commons 70,Subcontractors,384613.33,false,false,0.00,418100.02,-33486.69,false
P071,Wasatch Office 71,Subcontractors,203362.22,false,false,6718.61,206163.44,-2801.22,false
P077,Canyon Residences 77,Permits & Fees,36230.92,false,false,5437.53,26845.54,9385.38,false
P095,Summit Lodge 95,Materials,132500.00,false,false,0.00,109063.37,23436.63,false
P003,Summit Center 03,Subcontractors,465587.98,false,false,26507.74,424211.79,41376.19,false
P018,Wasatch Renovation 18,Materials,351277.00,false,false,58598.43,340653.65,10623.35,false
P027,Canyon Renovation 27,Subcontractors,545536.62,false,false,48134.94,550639.72,-5103.10,false
P034,Bonneville Office 34,Materials,128976.00,false,false,29704.13,107859.85,21116.15,false
P038,Canyon Renovation 38,Equipment,25561.51,false,false,4199.10,22356.71,3204.80,false
P038,Canyon Renovation 38,General Conditions,57260.51,false,false,1523.47,63044.65,-5784.14,false
P063,Summit Office 63,Equipment,43102.76,false,false,4066.10,40631.05,2471.71,false
P063,Summit Office 63,General Conditions,96790.61,false,false,12232.70,97591.54,-800.93,false
P080,Aspen Lodge 80,Subcontractors,122248.00,false,false,6120.34,93722.50,28525.50,false
P085,Summit Residences 85,Subcontractors,243066.81,false,false,27307.21,192487.09,50579.72,false
P087,Copper Office 87,Permits & Fees,70006.25,false,false,4533.93,27890.75,42115.50,false
P037,Wasatch Medical 37,Subcontractors,307825.11,false,false,64768.61,272186.48,35638.63,false
P005,Summit Residences 05,Equipment,97204.03,false,false,2360.05,98663.05,-1459.02,false
P005,Summit Residences 05,General Conditions,169660.71,false,false,31821.09,160850.27,8810.44,false
P016,Wasatch Lodge 16,Materials,111232.41,false,false,10636.72,114441.48,-3209.07,false
P020,Wasatch Commons 20,Other,21900.27,false,false,4666.45,16144.45,5755.82,false
P021,Copper Center 21,Other,59570.59,false,false,10966.57,46538.42,13032.17,false
P026,Granite Commons 26,Materials,886036.18,false,false,159179.62,770936.61,115099.57,false
P031,Summit Lodge 31,Materials,127440.00,false,false,11193.79,127665.76,-225.76,false
P033,Bonneville Retail 33,Materials,212625.00,false,false,0.00,223127.49,-10502.49,false
P035,Aspen Office 35,Other,31257.00,false,false,718.89,29174.94,2082.06,false
P041,Canyon Office 41,Materials,421514.89,false,false,32312.90,429917.36,-8402.47,false
P042,Juniper Residences 42,Subcontractors,641651.70,false,false,0.00,693869.02,-52217.32,false
P044,Copper Medical 44,Materials,115100.00,false,false,10980.55,109915.16,5184.84,false
P049,Wasatch Commons 49,Materials,246578.27,false,false,13346.55,270619.77,-24041.50,false
P055,Canyon Lodge 55,Subcontractors,395033.00,false,false,49827.24,370635.24,24397.76,false
P057,Juniper Commons 57,Permits & Fees,31672.00,false,false,1870.07,28703.10,2968.90,false
P061,Summit Center 61,General Conditions,166262.10,false,false,26006.88,162618.64,3643.46,false
P062,Granite Residences 62,Other,49782.81,false,false,3540.48,44189.00,5593.81,false
P067,Copper Office 67,Permits & Fees,23385.26,false,false,512.24,22925.76,459.50,false
P068,Aspen Lodge 68,Equipment,34018.68,false,false,0.00,35400.87,-1382.19,false
P072,Aspen Office 72,Permits & Fees,56923.95,false,false,3694.53,61844.71,-4920.76,false
P073,Canyon Commons 73,Permits & Fees,56589.00,false,false,0.00,58760.24,-2171.24,false
P079,Canyon Center 79,General Conditions,102144.00,false,false,19961.12,79438.98,22705.02,false
P086,Copper Center 86,Equipment,16076.00,false,false,1153.19,8529.30,7546.70,false
P086,Copper Center 86,General Conditions,36171.00,false,false,2186.23,22095.72,14075.28,false
P088,Copper Center 88,Equipment,35087.84,false,false,2767.24,26801.74,8286.10,false
P088,Copper Center 88,General Conditions,56147.73,false,false,0.00,47402.57,8745.16,false
P090,Canyon Office 90,General Conditions,64605.86,false,false,2255.23,59761.40,4844.46,false
P093,Granite Office 93,Subcontractors,663633.00,false,false,103488.03,393700.83,269932.17,false
P094,Copper Commons 94,Subcontractors,580491.42,false,false,13456.49,268409.53,312081.89,false
P007,Wasatch Renovation 07,Permits & Fees,123890.04,false,false,33957.70,111243.03,12647.01,false
P015,Juniper Residences 15,Other,31607.80,false,false,0.00,30835.07,772.73,false
P029,Copper Center 29,Materials,235686.20,false,false,56588.84,211362.76,24323.44,false
P061,Summit Center 61,Equipment,94933.66,false,false,8178.91,90709.51,4224.15,false
P065,Aspen Lodge 65,Subcontractors,210366.00,false,false,20931.93,200597.55,9768.45,false
